ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	STANLY BLK&DCKR		L_S_5ad746e0-1f2e-11e9-a2d0-b3645e528b7a_STANLY BLK&DCKR_TBRX				Cash						0D0438_TBRX		L_S_5ad746e0-1f2e-11e9-a2d0-b3645e528b7a_STANLY BLK&DCKR_TBRX				1.0000000000	 	USD		30200831.0000000000	US8545021011	STANLEY BLACK A		0		STANLY BLK&DCKR		20180118		0	TBRX			20200831	
	NETFLIX EUR		L_S_5a8fc5ae-1f2e-11e9-a2d0-b3645e528b7a_NETFLIX USD_TBRX				Cash						NETFLIX_TBRX		L_S_efa204bc-1f2a-11e9-a2d0-b3645e528b7a_NETFLIX EUR_TBRX				1.0000000000	 	EUR		30200831.0000000000	US64110L1061	NETFLIX		0		NETFLIX USD		20170825		0	TBRX			20200831	
	APACHE ORD		L_S_5a7e5166-1f2e-11e9-a2d0-b3645e528b7a_APACHE ORD_TBRX				Cash						0C1478_TBRX		L_S_5a7e5166-1f2e-11e9-a2d0-b3645e528b7a_APACHE ORD_TBRX				1.0000000000	 	USD		30200831.0000000000	US0374111054	APACHE ORD		0		APACHE ORD		20180115		0	TBRX			20200831	
	THE PROGRESSIVE		L_S_5abe8ea2-1f2e-11e9-a2d0-b3645e528b7a_THE PROGRESSIVE_TBRX				Cash						0B9534_TBRX		L_S_5abe8ea2-1f2e-11e9-a2d0-b3645e528b7a_THE PROGRESSIVE_TBRX				1.0000000000	 	USD		30200831.0000000000	US7433151039	PROGRESSIVE ORD		0		THE PROGRESSIVE		20180118		0	TBRX			20200831	
	STORE CAPITAL O		L_S_5a5c576e-1f2e-11e9-a2d0-b3645e528b7a_STORE CAPITAL O_TBRX				Cash						0B9689_TBRX		L_S_5a5c576e-1f2e-11e9-a2d0-b3645e528b7a_STORE CAPITAL O_TBRX				1.0000000000	 	USD		30200831.0000000000	US8621211007	STORE CAPITAL O		0		STORE CAPITAL O		20180124		0	TBRX			20200831	
	NEWMONT MINING		L_S_5ac5c352-1f2e-11e9-a2d0-b3645e528b7a_NEWMONT MINING_TBRX				Cash						0A7948_TBRX		L_S_5ac5c352-1f2e-11e9-a2d0-b3645e528b7a_NEWMONT MINING_TBRX				1.0000000000	 	USD		30200831.0000000000	US6516391066	NEWMONT MINING		0		NEWMONT MINING		20180115		0	TBRX			20200831	
	INFY		L_S_d7b36dc1-434b-11ea-ba6b-bffbb95b5697_INFY_TBRX				Cash								L_S_d7b36dc1-434b-11ea-ba6b-bffbb95b5697_INFY_TBRX				1.0000000000	 	USD		30200831.0000000000	US4567881085			0		INFY				0	TBRX			20200831	
	CASS		L_S_ef9e07ae-1f2a-11e9-a2d0-b3645e528b7a_CASS_TBRX				Cash						CATTOLICA ASSICURAZIONI_TBRX		L_S_ef9e07ae-1f2a-11e9-a2d0-b3645e528b7a_CASS_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0000784154	CATTOLICA ASS		0		CASS		20081110		0	TBRX			20200831	
	SJI		L_S_24bb9655-322a-11ea-cbd3-f569ed533d96_SJI_TBRX				Cash								L_S_24bb9655-322a-11ea-cbd3-f569ed533d96_SJI_TBRX				1.0000000000	 	USD		30200831.0000000000	US8385181081			0		SJI				0	TBRX			20200831	
	CORNING USD		L_S_5b1328fe-1f2e-11e9-a2d0-b3645e528b7a_CORNING USD_TBRX				Cash						0A8060_TBRX		L_S_5b1328fe-1f2e-11e9-a2d0-b3645e528b7a_CORNING USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US2193501051	CORNING ORD		0		CORNING USD		20180118		0	TBRX			20200831	
	TERADYNE ORD		L_S_5a9d8978-1f2e-11e9-a2d0-b3645e528b7a_TERADYNE ORD_TBRX				Cash						0B7796_TBRX		L_S_5a9d8978-1f2e-11e9-a2d0-b3645e528b7a_TERADYNE ORD_TBRX				1.0000000000	 	USD		30200831.0000000000	US8807701029	TERADYNE ORD		0		TERADYNE ORD		20180124		0	TBRX			20200831	
	SPDR INDL SELECT		L_S_25273e06-514c-11e9-b8d0-ec23cf8de3db_SPDR INDL SELECT_TBRX				Cash								L_S_25273e06-514c-11e9-b8d0-ec23cf8de3db_SPDR INDL SELECT_TBRX				1.0000000000	 	USD		30200831.0000000000	US81369Y7040	SPDR INDL SELECT		0		SPDR INDL SELECT				0	TBRX			20200831	
	Healthpeak Properties		L_S_35300708-8acd-11ea-cfe1-fc522f95fe9e_Healthpeak Properties_TBRX				Cash								L_S_35300708-8acd-11ea-cfe1-fc522f95fe9e_Healthpeak Properties_TBRX				1.0000000000	 	USD		30200831.0000000000	US42250P1030			0		Healthpeak Properties				0	TBRX			20200831	
	EATON ORD		L_S_5a526ec0-1f2e-11e9-a2d0-b3645e528b7a_EATON ORD_TBRX				Cash						0C1685_TBRX		L_S_5a526ec0-1f2e-11e9-a2d0-b3645e528b7a_EATON ORD_TBRX				1.0000000000	 	USD		30200831.0000000000	IE00B8KQN827	EATON ORD		0		EATON ORD		20180118		0	TBRX			20200831	
	GARMIN LTD		L_S_5b1f3928-1f2e-11e9-a2d0-b3645e528b7a_GARMIN LTD_TBRX				Cash						0B3918_TBRX		L_S_5b1f3928-1f2e-11e9-a2d0-b3645e528b7a_GARMIN LTD_TBRX				1.0000000000	 	USD		30200831.0000000000	000000000000	GARMIN ORD		0		GARMIN LTD		20180118		0	TBRX			20200831	
	Forescout Technologies Inc		L_S_6c3e2263-ec2f-11e9-6eab-4a648189a7ac_Forescout Technologies Inc_TBRX				Cash								L_S_6c3e2263-ec2f-11e9-6eab-4a648189a7ac_Forescout Technologies Inc_TBRX				1.0000000000	 	USD		30200831.0000000000	US34553D1019			0		Forescout Technologies Inc				0	TBRX			20200831	
	FID NATL FINAN		L_S_2506fa10-514c-11e9-b8d0-ec23cf8de3db_FID NATL FINAN_TBRX				Cash								L_S_2506fa10-514c-11e9-b8d0-ec23cf8de3db_FID NATL FINAN_TBRX				1.0000000000	 	USD		30200831.0000000000	US31620R3030	FID NATL FINAN		0		FID NATL FINAN				0	TBRX			20200831	
	BBZA		L_S_efa21844-1f2a-11e9-a2d0-b3645e528b7a_BBZA_TBRX				Cash						BB BIOTECH_TBRX		L_S_efa21844-1f2a-11e9-a2d0-b3645e528b7a_BBZA_TBRX				1.0000000000	 	EUR		30200831.0000000000	CH0038389992	BB BIOTECH		0		BBZA		20170718		0	TBRX			20200831	
	FRANKLIN RES		L_S_5ae452a4-1f2e-11e9-a2d0-b3645e528b7a_FRANKLIN RES_TBRX				Cash						0B6014_TBRX		L_S_5ae452a4-1f2e-11e9-a2d0-b3645e528b7a_FRANKLIN RES_TBRX				1.0000000000	 	USD		30200831.0000000000	US3546131018	FRANKLIN RESOUR		0		FRANKLIN RES		20180118		0	TBRX			20200831	
	STXE 600 TEL PR		L_S_7d1827c4-5151-11e9-b8d0-ec23cf8de3db_STXE 600 TEL PR_TBRX				Cash								L_S_7d1827c4-5151-11e9-b8d0-ec23cf8de3db_STXE 600 TEL PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658947	STXE 600 TEL PR		0		STXE 600 TEL PR				0	TBRX			20200831	
	AMP		L_S_efa2d41e-1f2a-11e9-a2d0-b3645e528b7a_AMP_TBRX				Cash						AMPLIFON_TBRX		L_S_efa2d41e-1f2a-11e9-a2d0-b3645e528b7a_AMP_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0004056880	AMPLIFON           .		0		AMP		20081110		0	TBRX			20200831	
	Science Applications International Corp		L_S_5a6a590e-1f2e-11e9-a2d0-b3645e528b7a_Science Applications International Corp_TBRX				Cash						0C3485_TBRX		L_S_5a6a590e-1f2e-11e9-a2d0-b3645e528b7a_Science Applications International Corp_TBRX				1.0000000000	 	USD		30200831.0000000000	US8086251076	SCIENCE APPLICA		0		Science Applications International Corp		20180725		0	TBRX			20200831	
	EDF		L_S_6e475f06-1f2b-11e9-a2d0-b3645e528b7a_EDF_TBRX				Cash						Electricite de France S.A. (E.D.F.)_TBRX		L_S_6e475f06-1f2b-11e9-a2d0-b3645e528b7a_EDF_TBRX				1.0000000000	 	EUR		30200831.0000000000	FR0010242511	EDF		0		EDF		20060523		0	TBRX			20200831	
	Berry Petroleum		L_S_3569616d-49b8-11ea-15db-13f2ca8772a7_Berry Petroleum_TBRX				Cash								L_S_3569616d-49b8-11ea-15db-13f2ca8772a7_Berry Petroleum_TBRX				1.0000000000	 	USD		30200831.0000000000	US08579X1019			0		Berry Petroleum				0	TBRX			20200831	
	Inspire Medical Systems		L_S_f49d2cd1-00a0-11ea-df70-ef7e106750b0_Inspire Medical Systems_TBRX				Cash								L_S_f49d2cd1-00a0-11ea-df70-ef7e106750b0_Inspire Medical Systems_TBRX				1.0000000000	 	USD		30200831.0000000000	US4577301090			0		Inspire Medical Systems				0	TBRX			20200831	
	AMERICAN HOMES		L_S_5a3ba1ea-1f2e-11e9-a2d0-b3645e528b7a_AMERICAN HOMES_TBRX				Cash						0C7047_TBRX		L_S_5a3ba1ea-1f2e-11e9-a2d0-b3645e528b7a_AMERICAN HOMES_TBRX				1.0000000000	 	USD		30200831.0000000000	US02665T3068	AMERICAN HOMES		0		AMERICAN HOMES		20180125		0	TBRX			20200831	
	TTWO		L_S_5a8722f0-1f2e-11e9-a2d0-b3645e528b7a_TTWO_TBRX				Cash						0C0194_TBRX		L_S_5a8722f0-1f2e-11e9-a2d0-b3645e528b7a_TTWO_TBRX				1.0000000000	 	USD		30200831.0000000000	US8740541094	TAKE TWO INTERA		0		TTWO		20180115		0	TBRX			20200831	
	S.E.B.		L_S_6e45fc74-1f2b-11e9-a2d0-b3645e528b7a_S.E.B._TBRX				Cash						0A6132_TBRX		L_S_6e45fc74-1f2b-11e9-a2d0-b3645e528b7a_S.E.B._TBRX				1.0000000000	 	EUR		30200831.0000000000	FR0000121709	S.E.B.		0		S.E.B.		20100401		0	TBRX			20200831	
	MANPOWER GROUP		L_S_250bd53a-514c-11e9-b8d0-ec23cf8de3db_MANPOWER GROUP_TBRX				Cash								L_S_250bd53a-514c-11e9-b8d0-ec23cf8de3db_MANPOWER GROUP_TBRX				1.0000000000	 	USD		30200831.0000000000	US56418H1005	MANPOWER GROUP		0		MANPOWER GROUP				0	TBRX			20200831	
	DBVT		L_S_4672c6db-32e8-11ea-6b5a-6641d3ff42bb_DBVT_TBRX				Cash								L_S_4672c6db-32e8-11ea-6b5a-6641d3ff42bb_DBVT_TBRX				1.0000000000	 	USD		30200831.0000000000	US23306J1016			0		DBVT				0	TBRX			20200831	
	NESTLE SA		L_S_5b1fceb0-1f2e-11e9-a2d0-b3645e528b7a_NESTLE SA_TBRX				Cash						0B4885_TBRX		L_S_5b1fceb0-1f2e-11e9-a2d0-b3645e528b7a_NESTLE SA_TBRX				1.0000000000	 	CHF		30200831.0000000000	CH0038863350	NESTLE N ORD		0		NESTLE SA		20140305		0	TBRX			20200831	
	PACCAR INC		L_S_5a436d4e-1f2e-11e9-a2d0-b3645e528b7a_PACCAR INC_TBRX				Cash						0B3968_TBRX		L_S_5a436d4e-1f2e-11e9-a2d0-b3645e528b7a_PACCAR INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US6937181088	PACCAR ORD		0		PACCAR INC		20180118		0	TBRX			20200831	
	UDR INC		L_S_5a4c8460-1f2e-11e9-a2d0-b3645e528b7a_UDR INC_TBRX				Cash						0B7511_TBRX		L_S_5a4c8460-1f2e-11e9-a2d0-b3645e528b7a_UDR INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US9026531049	UDR REIT ORD		0		UDR INC		20180118		0	TBRX			20200831	
	FACEBOOK USD		L_S_5a34e7f6-1f2e-11e9-a2d0-b3645e528b7a_FACEBOOK USD_TBRX				Cash						0A8001_TBRX		L_S_5a34e7f6-1f2e-11e9-a2d0-b3645e528b7a_FACEBOOK USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US30303M1027	FACEBOOK INC A		0		FACEBOOK USD		20180108		0	TBRX			20200831	
	NASDAQ 100		L_S_7d11c492-5151-11e9-b8d0-ec23cf8de3db_NASDAQ 100_TBRX				Cash								L_S_7d11c492-5151-11e9-b8d0-ec23cf8de3db_NASDAQ 100_TBRX				1.0000000000	 	USD		30200831.0000000000		NASDAQ 100		0		NASDAQ 100				0	TBRX			20200831	
	DXC Technology Co		L_S_5ab619ac-1f2e-11e9-a2d0-b3645e528b7a_DXC Technology Co_TBRX				Cash						0D1037_TBRX		L_S_5ab619ac-1f2e-11e9-a2d0-b3645e528b7a_DXC Technology Co_TBRX				1.0000000000	 	USD		30200831.0000000000	US23355L1061	DXC TECHNOLOGY		0		DXC Technology Co		20180115		0	TBRX			20200831	
	SEATTLE GENETIC		L_S_25220526-514c-11e9-b8d0-ec23cf8de3db_SEATTLE GENETIC_TBRX				Cash								L_S_25220526-514c-11e9-b8d0-ec23cf8de3db_SEATTLE GENETIC_TBRX				1.0000000000	 	USD		30200831.0000000000	US8125781026	SEATTLE GENETIC		0		SEATTLE GENETIC				0	TBRX			20200831	
	PLAYTECH		L_S_5b05c114-1f2e-11e9-a2d0-b3645e528b7a_PLAYTECH_TBRX				Cash						PLPTEC_TBRX		L_S_5b05c114-1f2e-11e9-a2d0-b3645e528b7a_PLAYTECH_TBRX				1.0000000000	 	GBP		30200831.0000000000	IM00B7S9G985	PLAYTECH		0		PLAYTECH		20120702		0	TBRX			20200831	
	Inphi Corp		L_S_c493c05c-70c5-11e9-af90-75f0e38bb8a4_Inphi Corp_TBRX				Cash								L_S_c493c05c-70c5-11e9-af90-75f0e38bb8a4_Inphi Corp_TBRX				1.0000000000	 	USD		30200831.0000000000	US45772F1075			0		Inphi Corp				0	TBRX			20200831	
	ZYNGA INC		L_S_5ac56632-1f2e-11e9-a2d0-b3645e528b7a_ZYNGA INC_TBRX				Cash						0A8032_TBRX		L_S_5ac56632-1f2e-11e9-a2d0-b3645e528b7a_ZYNGA INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US98986T1088	ZYNGA CL A ORD		0		ZYNGA INC		20180124		0	TBRX			20200831	
	TOD		L_S_ef9c592c-1f2a-11e9-a2d0-b3645e528b7a_TOD_TBRX				Cash						TOD'S_TBRX		L_S_ef9c592c-1f2a-11e9-a2d0-b3645e528b7a_TOD_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003007728	TOD'S		0		TOD		20081110		0	TBRX			20200831	
	IBTX		L_S_f5e031b2-1b6c-11ea-2954-839c95c768b4_IBTX_TBRX				Cash								L_S_f5e031b2-1b6c-11ea-2954-839c95c768b4_IBTX_TBRX				1.0000000000	 	USD		30200831.0000000000	US45384B1061			0		IBTX				0	TBRX			20200831	
	FIREEYE INC		L_S_5ae86ea2-1f2e-11e9-a2d0-b3645e528b7a_FIREEYE INC_TBRX				Cash						0A7979_TBRX		L_S_5ae86ea2-1f2e-11e9-a2d0-b3645e528b7a_FIREEYE INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US31816Q1013	FIREEYE ORD		0		FIREEYE INC		20180124		0	TBRX			20200831	
	GSX		L_S_e5411ed8-8325-11ea-2b18-b24bc7ff44ae_GSX_TBRX				Cash								L_S_e5411ed8-8325-11ea-2b18-b24bc7ff44ae_GSX_TBRX				1.0000000000	 	USD		30200831.0000000000	US36257Y1091			0		GSX				0	TBRX			20200831	
	VAR1		L_S_e35c54d6-1f2b-11e9-a2d0-b3645e528b7a_VAR1_TBRX				Cash						VARTA AG_TBRX		L_S_e35c54d6-1f2b-11e9-a2d0-b3645e528b7a_VAR1_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE000A0TGJ55	VARTA		0		VAR1		20180727		0	TBRX			20200831	
	BEYOND MEAT INC		L_S_6ee1f4c0-aa3c-11e9-83b0-858d80a69378_BEYOND MEAT INC_TBRX				Cash								L_S_6ee1f4c0-aa3c-11e9-83b0-858d80a69378_BEYOND MEAT INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US08862E1091	BEYOND MEAT INC		0		BEYOND MEAT INC				0	TBRX			20200831	
	FLOOR DECOR HOLD		L_S_25163dea-514c-11e9-b8d0-ec23cf8de3db_FLOOR DECOR HOLD_TBRX				Cash								L_S_25163dea-514c-11e9-b8d0-ec23cf8de3db_FLOOR DECOR HOLD_TBRX				1.0000000000	 	USD		30200831.0000000000	US3397501012	FLOOR DECOR HOLD		0		FLOOR DECOR HOLD				0	TBRX			20200831	
	CALAVO GROWERS INC		L_S_1e272fac-5788-11e9-8fe0-0acf43b3928a_CALAVO GROWERS INC_TBRX				Cash								L_S_1e272fac-5788-11e9-8fe0-0acf43b3928a_CALAVO GROWERS INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US1282461052			0		CALAVO GROWERS INC				0	TBRX			20200831	
	BILIBILI INC ADS		L_S_5a44aec0-1f2e-11e9-a2d0-b3645e528b7a_BILIBILI INC ADS_TBRX				Cash						0G7970_TBRX		L_S_5a44aec0-1f2e-11e9-a2d0-b3645e528b7a_BILIBILI INC ADS_TBRX				1.0000000000	 	USD		30200831.0000000000	US0900401060	BILIBILI ADS		0		BILIBILI INC ADS		20181004		0	TBRX			20200831	
	STM DIVIDENDS		L_S_ef9fb0b8-1f2a-11e9-a2d0-b3645e528b7a_STM_TBRX				Cash								L_S_ebcbdc28-e9af-11e9-993e-529049f1f1bb_STM DIVIDENDS_TBRX				1.0000000000	 	USD		30200831.0000000000	NL0000226223	STM DIVIDENDS		0		STM				0	TBRX			20200831	
	MOHAWK INDS		L_S_5b17d368-1f2e-11e9-a2d0-b3645e528b7a_MOHAWK INDS_TBRX				Cash						0B9210_TBRX		L_S_5b17d368-1f2e-11e9-a2d0-b3645e528b7a_MOHAWK INDS_TBRX				1.0000000000	 	USD		30200831.0000000000	US6081901042	MOHAWK INDUSTRI		0		MOHAWK INDS		20180118		0	TBRX			20200831	
	BC		L_S_efa4619e-1f2a-11e9-a2d0-b3645e528b7a_BC_TBRX				Cash						BRUNELLO CUCINELLI_TBRX		L_S_efa4619e-1f2a-11e9-a2d0-b3645e528b7a_BC_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0004764699	BRUNELLO CUCINELLI		0		BC		20120427		0	TBRX			20200831	
	TAILORED BRANDS		L_S_2511f636-514c-11e9-b8d0-ec23cf8de3db_TAILORED BRANDS_TBRX				Cash								L_S_2511f636-514c-11e9-b8d0-ec23cf8de3db_TAILORED BRANDS_TBRX				1.0000000000	 	USD		30200831.0000000000	US87403A1079			0		TAILORED BRANDS				0	TBRX			20200831	
	LLOYDS GRP.		L_S_5b266bda-1f2e-11e9-a2d0-b3645e528b7a_LLOYDS GRP._TBRX				Cash						LLLLOY_TBRX		L_S_5b266bda-1f2e-11e9-a2d0-b3645e528b7a_LLOYDS GRP._TBRX				1.0000000000	 	GBP		30200831.0000000000	GB0008706128	LLOYDS GRP.		0		LLOYDS GRP.		20031124		0	TBRX			20200831	
	AGEAS		L_S_ef9dd8ce-1f2a-11e9-a2d0-b3645e528b7a_AGEAS_TBRX				Cash						AGEAS_TBRX		L_S_ef9dd8ce-1f2a-11e9-a2d0-b3645e528b7a_AGEAS_TBRX				1.0000000000	 	EUR		30200831.0000000000	BE0974264930	AGEAS		0		AGEAS		20100104		0	TBRX			20200831	
	ITT		L_S_f5d200e0-1b6c-11ea-2954-839c95c768b4_ITT_TBRX				Cash								L_S_f5d200e0-1b6c-11ea-2954-839c95c768b4_ITT_TBRX				1.0000000000	 	USD		30200831.0000000000	US45073V1089			0		ITT				0	TBRX			20200831	
	AVERGRAD		L_S_55a5a184-6809-11e9-b5c0-567da512d6fc_AVERGRAD_TBRX				Cash								L_S_55a5a184-6809-11e9-b5c0-567da512d6fc_AVERGRAD_TBRX				1.0000000000	 	USD		30200831.0000000000	US05351W1036			0		AVERGRAD				0	TBRX			20200831	
	ESTX AU&PT PR		L_S_7d17db3e-5151-11e9-b8d0-ec23cf8de3db_ESTX AU&PT PR_TBRX				Cash								L_S_7d17db3e-5151-11e9-b8d0-ec23cf8de3db_ESTX AU&PT PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658301	ESTX AU&PT PR		0		ESTX AU&PT PR				0	TBRX			20200831	
	EGOV		L_S_5b10c35c-1f2e-11e9-a2d0-b3645e528b7a_EGOV_TBRX				Cash						0C7869_TBRX		L_S_5b10c35c-1f2e-11e9-a2d0-b3645e528b7a_EGOV_TBRX				1.0000000000	 	USD		30200831.0000000000	US62914B1008	NIC ORD		0		EGOV		20180124		0	TBRX			20200831	
	KGX		L_S_e3399ffe-1f2b-11e9-a2d0-b3645e528b7a_KGX_TBRX				Cash						KION GROUP AG_TBRX		L_S_e3399ffe-1f2b-11e9-a2d0-b3645e528b7a_KGX_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE000KGX8881	KION GROUP		0		KGX		20170908		0	TBRX			20200831	
	VALE SA ADR		L_S_5a8ce8e8-1f2e-11e9-a2d0-b3645e528b7a_VALE SA ADR_TBRX				Cash						0D9785_TBRX		L_S_5a8ce8e8-1f2e-11e9-a2d0-b3645e528b7a_VALE SA ADR_TBRX				1.0000000000	 	USD		30200831.0000000000	US91912E1055	VALE ADR REPTG		0		VALE SA ADR		20180115		0	TBRX			20200831	
	TRANE TECH PLC		L_S_a9f9e470-5ea8-11ea-ab20-e774f7ed5ef3_TRANE TECH PLC_TBRX				Cash						0B7237_TBRX		L_S_a9f9e470-5ea8-11ea-ab20-e774f7ed5ef3_TRANE TECH PLC_TBRX				1.0000000000	 	USD		30200831.0000000000	000000000000	TRANE TECH PLC		0		TRANE TECH PLC		20200305		0	TBRX			20200831	
	ELECTRONIC ART		L_S_5a850d3a-1f2e-11e9-a2d0-b3645e528b7a_ELECTRONIC ART_TBRX				Cash						0C2869_TBRX		L_S_5a850d3a-1f2e-11e9-a2d0-b3645e528b7a_ELECTRONIC ART_TBRX				1.0000000000	 	USD		30200831.0000000000	US2855121099	ELECTRONIC ART		0		ELECTRONIC ART		20180115		0	TBRX			20200831	
	TOTAL		L_S_ef9c7be6-1f2a-11e9-a2d0-b3645e528b7a_TOTAL_TBRX				Cash						TOTAL_TBRX		L_S_ef9c7be6-1f2a-11e9-a2d0-b3645e528b7a_TOTAL_TBRX				1.0000000000	 	EUR		30200831.0000000000	FR0000120271	TOTAL		0		TOTAL		20100104		0	TBRX			20200831	
	ESTX SD 30 PR		L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX				Cash								L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX				10.0000000000	 	EUR		30200831.0000000000	CH0020751589	ESTX SD 30 PR		0		ESTX SD 30 PR				0	TBRX			20200831	
	NSP USD		L_S_eecda17a-6cb1-11e9-a7f0-e0a05e35b460_NSP USD_TBRX				Cash								L_S_eecda17a-6cb1-11e9-a7f0-e0a05e35b460_NSP USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US45778Q1076			0		NSP USD				0	TBRX			20200831	
	Hub Group		L_S_dba11f7d-e6a6-11e9-48b8-3439aa512a8c_Hub Group_TBRX				Cash								L_S_dba11f7d-e6a6-11e9-48b8-3439aa512a8c_Hub Group_TBRX				1.0000000000	 	USD		30200831.0000000000	US4433201062			0		Hub Group				0	TBRX			20200831	
	MERCK & CO USD		L_S_250c5dde-514c-11e9-b8d0-ec23cf8de3db_MERCK & CO USD_TBRX				Cash								L_S_250c5dde-514c-11e9-b8d0-ec23cf8de3db_MERCK & CO USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US58933Y1055			0		MERCK & CO USD				0	TBRX			20200831	
	AGL		L_S_efa2462a-1f2a-11e9-a2d0-b3645e528b7a_AGL_TBRX				Cash						AUTOGRILL_TBRX		L_S_efa2462a-1f2a-11e9-a2d0-b3645e528b7a_AGL_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001137345	AUTOGRILL SPA		0		AGL		20081110		0	TBRX			20200831	
	UNI LAND OLD		L_S_e8be166c-20b6-11e9-ae50-47deb3124dc8_UNI LAND OLD_TBRX				Cash								L_S_e8be166c-20b6-11e9-ae50-47deb3124dc8_UNI LAND OLD_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0004375389	UNI LAND OLD		0		UNI LAND OLD				0	TBRX			20200831	
	FAR		L_S_0382786e-b1c4-11e9-ab80-a9e20806263c_FAR_TBRX				Cash						FARMAE_TBRX		L_S_0382786e-b1c4-11e9-ab80-a9e20806263c_FAR_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005378333	FARMAE		0		FAR		20190729		0	TBRX			20200831	
	SPROUTS FARMERS		L_S_258661ba-514c-11e9-b8d0-ec23cf8de3db_SPROUTS FARMERS_TBRX				Cash								L_S_258661ba-514c-11e9-b8d0-ec23cf8de3db_SPROUTS FARMERS_TBRX				1.0000000000	 	USD		30200831.0000000000	US85208M1027	SPRTS FRMR MKT		0		SPROUTS FARMERS				0	TBRX			20200831	
	PAYPAL HOLDI EUR		L_S_5a6c374c-1f2e-11e9-a2d0-b3645e528b7a_PAYPAL HOLDI USD_TBRX				Cash						PayPal Holdings Inc._TBRX		L_S_e35ab8d8-1f2b-11e9-a2d0-b3645e528b7a_PAYPAL HOLDI EUR_TBRX				1.0000000000	 	EUR		30200831.0000000000	US70450Y1038	PAYPAL		0		PAYPAL HOLDI USD		20150814		0	TBRX			20200831	
	GHC		L_S_ef9fa83e-1f2a-11e9-a2d0-b3645e528b7a_GHC_TBRX				Cash						GAROFALO HEALTH CARE_TBRX		L_S_ef9fa83e-1f2a-11e9-a2d0-b3645e528b7a_GHC_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005345233	GAROFALO HEALTH CARE		0		GHC		20181109		0	TBRX			20200831	
	ACTIVISIN BLIZRD		L_S_5b213084-1f2e-11e9-a2d0-b3645e528b7a_ACTIVISIN BLIZRD_TBRX				Cash						0C6894_TBRX		L_S_5b213084-1f2e-11e9-a2d0-b3645e528b7a_ACTIVISIN BLIZRD_TBRX				1.0000000000	 	USD		30200831.0000000000	US00507V1098	ACTIVISIN BLIZRD		0		ACTIVISIN BLIZRD		20180115		0	TBRX			20200831	
	Coty Inc		L_S_5aeae574-1f2e-11e9-a2d0-b3645e528b7a_Coty Inc_TBRX				Cash						0C6885_TBRX		L_S_5aeae574-1f2e-11e9-a2d0-b3645e528b7a_Coty Inc_TBRX				1.0000000000	 	USD		30200831.0000000000	US2220702037	COTY CL A ORD		0		Coty Inc		20180118		0	TBRX			20200831	
	PUBL SVC ENTER		L_S_5b2418da-1f2e-11e9-a2d0-b3645e528b7a_PUBL SVC ENTER_TBRX				Cash						0B6331_TBRX		L_S_5b2418da-1f2e-11e9-a2d0-b3645e528b7a_PUBL SVC ENTER_TBRX				1.0000000000	 	USD		30200831.0000000000	US7445731067	PUBLIC SERVICE		0		PUBL SVC ENTER		20180118		0	TBRX			20200831	
