ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Common/Ordinary shares		FI_EQUITY	1.0000000000	VINCI		Equities	TBRX		Y		Equities	VINCI						L_S_efa1d5aa-1f2a-11e9-a2d0-b3645e528b7a_VINCI_TBRX	Equities	0.0000000000	FR0000125486		VINCI			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	MIBO0J22500		Options	TBRX		Y		Equities	MIBO0J22500						O_3f068f76-ca4e-11ea-bfb0-7047c6039bd4_MIBO0J22500 | 16 OCT 20 | C | E | 22500.0000000000_TBRX	Options	0.0000000000	IT0017263622		MIBO0J22500 | 16 OCT 20 | C | E | 22500.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	MB0I5.20		Options	TBRX		Y		Equities	MB0I5.20						O_c67e46ca-629c-11ea-b360-e4afb098eae1_MB0I5.20 | 18 SEP 20 | C | A | 5.2000000000_TBRX	Options	0.0000000000	IT0016639053		MB0I5.20 | 18 SEP 20 | C | A | 5.2000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	FDA		Equities	TBRX		Y		Equities	FIDIA						L_S_efa21ca4-1f2a-11e9-a2d0-b3645e528b7a_FDA_TBRX	Equities	0.0000000000	IT0001498481		FDA			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	OPT_SX5E MAR23 PATM - 4031		Options	TBRX		Y		Equities							O_bbb34e42-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E MAR23 PATM - 4031 | 01 MAR 23 | P | E | 3384.7100000000_TBRX	Options	0.0000000000			OPT_SX5E MAR23 PATM - 4031 | 01 MAR 23 | P | E | 3384.7100000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	0_EUR_SELDIV C 2131.35 25 - 5768		Options	TBRX		Y		Equities							O_299011b4-c20e-11ea-b160-7d1a56fc20bf_0_EUR_SELDIV C 2131.35 25 - 5768 | 08 JUL 25 | C | E | 2131.3500000000_TBRX	Options	0.0000000000			0_EUR_SELDIV C 2131.35 25 - 5768 | 08 JUL 25 | C | E | 2131.3500000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06520		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 9,2 E 071220						L_S_b3eff346-90e6-11ea-b430-b3e2b66d25c3_I06520_TBRX	Rights	0.0000000000	IT0005410722		I06520	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	ENEL0L6.80		Options	TBRX		Y		Equities	ENEL0L6.80						O_4d74e528-1f30-11e9-a2d0-b3645e528b7a_ENEL0L6.80 | 18 DEC 20 | C | A | 6.8000000000_TBRX	Options	0.0000000000	IT0014338492		ENEL0L6.80 | 18 DEC 20 | C | A | 6.8000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ASTRAZENECA		Equities	TBRX		Y		Equities	ASTRAZENECA						L_S_5a36fd34-1f2e-11e9-a2d0-b3645e528b7a_ASTRAZENECA_TBRX	Equities	0.0000000000	GB0009895292		ASTRAZENECA			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	AXA 202112 P 22		Options	TBRX		Y		Equities	AXA 202112 P 22						O_f4b44248-1f30-11e9-a2d0-b3645e528b7a_AXA 202112 P 22 | 17 DEC 21 | P | A | 22.0000000000_TBRX	Options	0.0000000000	DE000C0JR2M2		AXA 202112 P 22 | 17 DEC 21 | P | A | 22.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	STM0J29		Options	TBRX		Y		Equities	STM0J29						O_478f7072-ca4e-11ea-bfb0-7047c6039bd4_STM0J29 | 16 OCT 20 | C | A | 29.0000000000_TBRX	Options	0.0000000000	IT0017262467		STM0J29 | 16 OCT 20 | C | A | 29.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	STMICROELECTRON		Equities	TBRX		Y		Equities	STMICROELECTRON						L_S_5b261784-1f2e-11e9-a2d0-b3645e528b7a_STMICROELECTRON_TBRX	Equities	0.0000000000	US8610121027		STMICROELECTRON			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	KR Sep0 40.0 C		Options	TBRX		Y		Equities	KR Sep0 40.0 C						O_3e8c7758-d184-11ea-a100-402102c1e5a3_KR Sep0 40.0 C | 18 SEP 20 | C | A | 40.0000000000_TBRX	Options	0.0000000000			KR Sep0 40.0 C | 18 SEP 20 | C | A | 40.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CNK		Equities	TBRX		Y		Equities							L_S_fe63df37-9921-11ea-299e-0b810d5f7a82_CNK_TBRX	Equities	0.0000000000	US17243V1026		CNK			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	ENI3X12		Options	TBRX		Y		Equities	ENI3X12						O_97f02814-494d-11e9-9970-3027219c6795_ENI3X12 | 15 DEC 23 | P | A | 12.0000000000_TBRX	Options	0.0000000000	IT0015465864		ENI3X12 | 15 DEC 23 | P | A | 12.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SX7E JUL22 CALL0 BOND		Options	TBRX		Y		Equities							O_857feb80-62b4-11e9-b160-4ad6f9df0bf5_SX7E JUL22 CALL0 BOND | 15 JUL 22 | C | E | .0001000000_TBRX	Options	0.0000000000			SX7E JUL22 CALL0 BOND | 15 JUL 22 | C | E | .0001000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	HOULIHAN LOKEY INC		Equities	TBRX		Y		Equities							L_S_c4617f88-56b8-11e9-b970-658c421d7d67_HOULIHAN LOKEY INC_TBRX	Equities	0.0000000000	US4415931009		HOULIHAN LOKEY INC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	EPC SD3E NOV21 CNP 2Y FLOOR		Options	TBRX		Y		Equities							O_7dc92456-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E NOV21 CNP 2Y FLOOR | 16 NOV 20 | C | E | .1000000000_TBRX	Options	0.0000000000			EPC SD3E NOV21 CNP 2Y FLOOR | 16 NOV 20 | C | E | .1000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ATARA BIOTHERAP		Equities	TBRX		Y		Equities	ATARA BIOTHERAP						L_S_5a91bbd4-1f2e-11e9-a2d0-b3645e528b7a_ATARA BIOTHERAP_TBRX	Equities	0.0000000000	US0465131078		ATARA BIOTHERAP			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Combined Instruments		FI_OPTION	1.0000000000	EPC SD3E NOV26 BDT		Miscellaneous	TBRX		Y		Equities							L_S_1e71042e-1132-11ea-95c0-9c8971a2b88b_EPC SD3E NOV26 BDT_TBRX	Miscellaneous	0.0000000000	XS2069558562		EPC SD3E NOV26 BDT			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	GENERAL MILLS		Equities	TBRX		Y		Equities	GENERAL MILLS O						L_S_5a747628-1f2e-11e9-a2d0-b3645e528b7a_GENERAL MILLS_TBRX	Equities	0.0000000000	US3703341046		GENERAL MILLS			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CENTENNIAL RES A		Equities	TBRX		Y		Equities	CENTENNIAL RESO						L_S_5a887b14-1f2e-11e9-a2d0-b3645e528b7a_CENTENNIAL RES A_TBRX	Equities	0.0000000000	US15136A1025		CENTENNIAL RES A			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	MIBO0U15500		Options	TBRX		Y		Equities	MIBO0U15500						O_995b6a4a-5d1c-11ea-9b10-1e6079c4b3f4_MIBO0U15500 | 18 SEP 20 | P | E | 15500.0000000000_TBRX	Options	0.0000000000	IT0016594845		MIBO0U15500 | 18 SEP 20 | P | E | 15500.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	HUDSON LTD A		Equities	TBRX		Y		Equities	HUDSON LTD A						L_S_2517e910-514c-11e9-b8d0-ec23cf8de3db_HUDSON LTD A_TBRX	Equities	0.0000000000	000000000000		HUDSON LTD A			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	MICRON TECH EUR		Equities	TBRX		Y		Equities	MICRON TECHNOLOGY						L_S_ef9c8c08-1f2a-11e9-a2d0-b3645e528b7a_MICRON TECH EUR_TBRX	Equities	0.0000000000	US5951121038		MICRON TECH EUR			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	EP CED FTMIB JAN25 C50 2Y		Options	TBRX		Y		Equities							O_7d38f764-62b4-11e9-b160-4ad6f9df0bf5_EP CED FTMIB JAN25 C50 2Y | 25 JAN 21 | C | E | 9885.7750000000_TBRX	Options	0.0000000000			EP CED FTMIB JAN25 C50 2Y | 25 JAN 21 | C | E | 9885.7750000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BB BIOTECH ORD		Equities	TBRX		Y		Equities							L_S_252df570-514c-11e9-b8d0-ec23cf8de3db_BB BIOTECH ORD_TBRX	Equities	0.0000000000	CH0038389992		BB BIOTECH ORD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	EP3 G SEPT20 PUT85		Options	TBRX		Y		Equities							O_851c0d40-62b4-11e9-b160-4ad6f9df0bf5_EP3 G SEPT20 PUT85 | 25 SEP 20 | P | E | 9.2820000000_TBRX	Options	0.0000000000			EP3 G SEPT20 PUT85 | 25 SEP 20 | P | E | 9.2820000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SD3E NOV24 CATM		Options	TBRX		Y		Equities							O_75d4f568-62b4-11e9-b160-4ad6f9df0bf5_SD3E NOV24 CATM | 27 NOV 24 | C | E | 2146.9100000000_TBRX	Options	0.0000000000			SD3E NOV24 CATM | 27 NOV 24 | C | E | 2146.9100000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E MAR21 CALL50 OTC 2 - EPSILON MAR26		Options	TBRX		N		Equities							O_c0d7f522-7710-11e9-9400-98972329be46_SX5E MAR21 CALL50 OTC 2 - EPSILON MAR26 | 15 MAR 21 | C | E | 1732.0000000000_TBRX	Options	0.0000000000			SX5E MAR21 CALL50 OTC 2 - EPSILON MAR26 | 15 MAR 21 | C | E | 1732.0000000000			Equities		30200831		Equities	Call	20200831			27312223	Call	
	Put		FI_OPTION	1.0000000000	A2A0U1.10		Options	TBRX		Y		Equities	A2A0U1.10						O_7607862e-5c53-11ea-a7c0-339eae0b4931_A2A0U1.10 | 18 SEP 20 | P | A | 1.1000000000_TBRX	Options	0.0000000000	IT0016592146		A2A0U1.10 | 18 SEP 20 | P | A | 1.1000000000			Equities		30200831		Equities	Put	20200831				Put	
	Put		FI_OPTION	1.0000000000	ENEL0X8		Options	TBRX		Y		Equities	ENEL0X8						O_4dbb530a-1f30-11e9-a2d0-b3645e528b7a_ENEL0X8 | 18 DEC 20 | P | A | 8.0000000000_TBRX	Options	0.0000000000	IT0014338567		ENEL0X8 | 18 DEC 20 | P | A | 8.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Put		FI_OPTION	1.0000000000	OPT_SX5E APR22 P90 - 4521		Options	TBRX		Y		Equities							O_bbeca890-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E APR22 P90 - 4521 | 07 APR 22 | P | E | 3094.9000000000_TBRX	Options	0.0000000000			OPT_SX5E APR22 P90 - 4521 | 07 APR 22 | P | E | 3094.9000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	0_DJ_HLT C 931.88 27 - 5765		Options	TBRX		Y		Equities							O_e9ff2760-c0eb-11ea-bff0-0eafd23699e3_0_DJ_HLT C 931.88 27 - 5765 | 05 JUL 27 | C | E | 931.8800000000_TBRX	Options	0.0000000000			0_DJ_HLT C 931.88 27 - 5765 | 05 JUL 27 | C | E | 931.8800000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	FRESEN MED CARE		Equities	TBRX		Y		Equities	FRESENIUS MEDICAL CARE						L_S_efa3cce8-1f2a-11e9-a2d0-b3645e528b7a_FRESEN MED CARE_TBRX	Equities	0.0000000000	DE0005785802		FRESEN MED CARE			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	SX6E JUL26 P95		Options	TBRX		Y		Equities							O_a386c2da-b353-11e9-b550-9403f430e0d1_SX6E JUL26 P95 | 29 JUL 26 | P | E | 307.1300000000_TBRX	Options	0.0000000000			SX6E JUL26 P95 | 29 JUL 26 | P | E | 307.1300000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	S&P500 C 2746.56 26 - 5567		Options	TBRX		Y		Equities							O_7f20a998-6301-11ea-b6e0-21f801bdce02_S&P500 C 2746.56 26 - 5567 | 05 MAR 26 | C | E | 2746.5600000000_TBRX	Options	0.0000000000			S&P500 C 2746.56 26 - 5567 | 05 MAR 26 | C | E | 2746.5600000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06461		Rights	TBRX		Y		Equities	BI CW CALL FCA 13 E 070621						L_S_b3a3a6c6-90e6-11ea-b430-b3e2b66d25c3_I06461_TBRX	Rights	0.0000000000	IT0005410144		I06461	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OPT_SX5E APR22 P90 - 3727		Options	TBRX		Y		Equities							O_bb7b4d8a-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E APR22 P90 - 3727 | 28 APR 22 | P | E | 2725.3890000000_TBRX	Options	0.0000000000			OPT_SX5E APR22 P90 - 3727 | 28 APR 22 | P | E | 2725.3890000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	FTMIB NOV24 C125		Options	TBRX		Y		Equities							O_b2400478-7710-11e9-9400-98972329be46_FTMIB NOV24 C125 | 06 NOV 24 | C | E | 26523.9300000000_TBRX	Options	0.0000000000			FTMIB NOV24 C125 | 06 NOV 24 | C | E | 26523.9300000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BLACKSTONE MORTG		Equities	TBRX		Y		Equities	BLACKSTONE MORTG						L_S_25814fb8-514c-11e9-b8d0-ec23cf8de3db_BLACKSTONE MORTG_TBRX	Equities	0.0000000000	US09257W1009		BLACKSTONE MORTG			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ULTA BEAUTY ORD		Equities	TBRX		Y		Equities	ULTA BEAUTY ORD						L_S_5a68c8aa-1f2e-11e9-a2d0-b3645e528b7a_ULTA BEAUTY ORD_TBRX	Equities	0.0000000000	US90384S3031		ULTA BEAUTY ORD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	PST0L8		Options	TBRX		Y		Equities	PST0L8						O_9849466a-494d-11e9-9970-3027219c6795_PST0L8 | 18 DEC 20 | C | A | 8.0000000000_TBRX	Options	0.0000000000	IT0015492355		PST0L8 | 18 DEC 20 | C | A | 8.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	FACEBOOK USD		Equities	TBRX		Y		Equities	FACEBOOK INC A						L_S_5a34e7f6-1f2e-11e9-a2d0-b3645e528b7a_FACEBOOK USD_TBRX	Equities	0.0000000000	US30303M1027		FACEBOOK USD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OESX 202009 C 3700		Options	TBRX		Y		Equities	OESX 202009 C 3700						O_b87be8ee-ddc1-11e9-9eb0-e7766f5ef7bc_OESX 202009 C 3700 | 18 SEP 20 | C | E | 3700.0000000000_TBRX	Options	0.0000000000	DE000C4FPQP9		OESX 202009 C 3700 | 18 SEP 20 | C | E | 3700.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CNH INDUSTRAL NV		Equities	TBRX		Y		Equities	CNH INDUSTRAL NV						L_S_251598cc-514c-11e9-b8d0-ec23cf8de3db_CNH INDUSTRAL NV_TBRX	Equities	0.0000000000	NL0010545661		CNH INDUSTRAL NV			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OEXD 202012 C 110		Options	TBRX		Y		Equities	OEXD 202012 C 110						O_f37eb782-1f30-11e9-a2d0-b3645e528b7a_OEXD 202012 C 110 | 18 DEC 20 | C | E | 110.0000000000_TBRX	Options	0.0000000000	DE000C4TB0R7		OEXD 202012 C 110 | 18 DEC 20 | C | E | 110.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Put		FI_OPTION	1.0000000000	I06083		Rights	TBRX		Y		Equities	BI CW PUT FTSE MIB 22000 E 180920						L_S_d3b7fa3e-5211-11ea-8640-38c7f938b954_I06083_TBRX	Rights	0.0000000000	IT0005400194		I06083	Warrant		Equities		30200831		Equities	Warrants Put	20200831				Put	
	Warrants Call		FI_OPTION	1.0000000000	I06218		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 16,5 E 071220						L_S_d3a06fae-5211-11ea-8640-38c7f938b954_I06218_TBRX	Rights	0.0000000000	IT0005401671		I06218	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06518		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 8,4 E 071220						L_S_b3f0ad5e-90e6-11ea-b430-b3e2b66d25c3_I06518_TBRX	Rights	0.0000000000	IT0005410714		I06518	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	TERADYNE ORD		Equities	TBRX		Y		Equities	TERADYNE ORD						L_S_5a9d8978-1f2e-11e9-a2d0-b3645e528b7a_TERADYNE ORD_TBRX	Equities	0.0000000000	US8807701029		TERADYNE ORD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	G2L13		Options	TBRX		Y		Equities	G2L13						O_98160d72-494d-11e9-9970-3027219c6795_G2L13 | 16 DEC 22 | C | A | 13.0000000000_TBRX	Options	0.0000000000	IT0015454314		G2L13 | 16 DEC 22 | C | A | 13.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	LHA 202012 P 6.4		Options	TBRX		Y		Equities	LHA 202012 P 6.4						O_911bfcca-bfe5-11e9-a4e0-9a9eeb5433c9_LHA 202012 P 6.4 | 18 DEC 20 | P | A | 6.4000000000_TBRX	Options	0.0000000000	DE000C4BWSN5		LHA 202012 P 6.4 | 18 DEC 20 | P | A | 6.4000000000			Equities		30200831		Equities	Put	20200831				Put	
	Combined Instruments		FI_OPTION	1.0000000000	I05387		Miscellaneous	TBRX		Y		Equities	BI EUS50CPP100%CE100524						L_S_af9dc2b4-ba9f-11e9-a020-091cb4b8f405_I05387_TBRX	Miscellaneous	0.0000000000	XS1981745216		I05387			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Call		FI_OPTION	1.0000000000	OPT_CERT SD3E NOV25 BDT CALL50 6Y - 4791		Options	TBRX		Y		Equities							O_bc1c464a-9e9d-11ea-a0a0-6b77645bee53_OPT_CERT SD3E NOV25 BDT CALL50 6Y - 4791 | 25 NOV 24 | C | E | 952.7500000000_TBRX	Options	0.0000000000			OPT_CERT SD3E NOV25 BDT CALL50 6Y - 4791 | 25 NOV 24 | C | E | 952.7500000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06396		Rights	TBRX		Y		Equities	BI CW CALL AZIMUT 22 E 010321						L_S_b3b69178-90e6-11ea-b430-b3e2b66d25c3_I06396_TBRX	Rights	0.0000000000	IT0005409492		I06396	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	1_SASY H91.497 - OTC EPSILON		Options	TBRX		N		Equities							O_105273e4-d7c7-11ea-ad00-165624ea06d9_1_SASY H91.497 - OTC EPSILON | 05 AUG 21 | C | E | 91.4970000000_TBRX	Options	0.0000000000			1_SASY H91.497 - OTC EPSILON | 05 AUG 21 | C | E | 91.4970000000			Equities		30200831		Equities	Call	20200831			31121464	Call	
	Call		FI_OPTION	1.0000000000	FTMIB L 17000 DEC20 OTC - STRD DESK		Options	TBRX		N		Equities							O_b545033a-7710-11e9-9400-98972329be46_FTMIB L 17000 DEC20 OTC - STRD DESK | 18 DEC 20 | C | E | 17000.0000000000_TBRX	Options	0.0000000000			FTMIB L 17000 DEC20 OTC - STRD DESK | 18 DEC 20 | C | E | 17000.0000000000			Equities		30200831		Equities	Call	20200831			20717825	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	VALEO		Equities	TBRX		Y		Equities	VALEO						L_S_6e4bc2b2-1f2b-11e9-a2d0-b3645e528b7a_VALEO_TBRX	Equities	0.0000000000	FR0013176526		VALEO			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	SXKE SEP20 C100 BOND		Options	TBRX		Y		Equities							O_822488e2-62b4-11e9-b160-4ad6f9df0bf5_SXKE SEP20 C100 BOND | 03 SEP 20 | C | E | 377.6100000000_TBRX	Options	0.0000000000			SXKE SEP20 C100 BOND | 03 SEP 20 | C | E | 377.6100000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Put		FI_OPTION	1.0000000000	I06082		Rights	TBRX		Y		Equities	BI CW PUT FTSE MIB 21500 E 181220						L_S_d3d5eec2-5211-11ea-8640-38c7f938b954_I06082_TBRX	Rights	0.0000000000	IT0005400202		I06082	Warrant		Equities		30200831		Equities	Warrants Put	20200831				Put	
	Warrants Call		FI_OPTION	1.0000000000	I06092		Rights	TBRX		Y		Equities	BI CW CALL TOTAL 50 E 070920						L_S_d3e7471c-5211-11ea-8640-38c7f938b954_I06092_TBRX	Rights	0.0000000000	IT0005401507		I06092	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	BMW 202012 P 64		Options	TBRX		Y		Equities	BMW 202012 P 64						O_dd4bdada-39b6-11e9-aa00-490041a9bcec_BMW 202012 P 64 | 18 DEC 20 | P | A | 64.0000000000_TBRX	Options	0.0000000000	DE000C2XTGC7		BMW 202012 P 64 | 18 DEC 20 | P | A | 64.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Warrants Call		FI_OPTION	1.0000000000	I06415		Rights	TBRX		Y		Equities	BI CW CALL BANCO BPM 1,85 E 070621						L_S_b3a1911a-90e6-11ea-b430-b3e2b66d25c3_I06415_TBRX	Rights	0.0000000000	IT0005409682		I06415	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BOUYGUES		Equities	TBRX		Y		Equities	BOUYGUES						L_S_6e499a3c-1f2b-11e9-a2d0-b3645e528b7a_BOUYGUES_TBRX	Equities	0.0000000000	FR0000120503		BOUYGUES			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06436		Rights	TBRX		Y		Equities	BI CW CALL ENI 11 E 070920						L_S_b3c9e732-90e6-11ea-b430-b3e2b66d25c3_I06436_TBRX	Rights	0.0000000000	IT0005409898		I06436	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	OPT_SPX DEC21 CCAP - 3627		Options	TBRX		Y		Equities							O_bb6131a2-9e9d-11ea-a0a0-6b77645bee53_OPT_SPX DEC21 CCAP - 3627 | 23 DEC 21 | C | E | 3034.4060000000_TBRX	Options	0.0000000000			OPT_SPX DEC21 CCAP - 3627 | 23 DEC 21 | C | E | 3034.4060000000			Equities		30200831		Equities	Call	20200831				Call	
	ETF		FI_EQUITY	1.0000000000	INVSC QQQ S1		Collective investment vehicles	TBRX		Y		Equities	INVSC QQQ S1						L_S_252155ea-514c-11e9-b8d0-ec23cf8de3db_INVSC QQQ S1_TBRX	Collective investment vehicles	0.0000000000	US46090E1038		INVSC QQQ S1			Equities		30200831		Equities	ETF	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	SG		Equities	TBRX		Y		Equities	SAES GETTERS						L_S_efa077b4-1f2a-11e9-a2d0-b3645e528b7a_SG_TBRX	Equities	0.0000000000	IT0001029492		SG			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OESX 202012 C 5000		Options	TBRX		Y		Equities	OESX 202012 C 5000						O_f382642c-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 C 5000 | 18 DEC 20 | C | E | 5000.0000000000_TBRX	Options	0.0000000000	DE000C0ND0W5		OESX 202012 C 5000 | 18 DEC 20 | C | E | 5000.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E OCT22 C100 BOND		Options	TBRX		Y		Equities							O_771429e4-62b4-11e9-b160-4ad6f9df0bf5_SX5E OCT22 C100 BOND | 14 OCT 22 | C | E | 3008.7200000000_TBRX	Options	0.0000000000			SX5E OCT22 C100 BOND | 14 OCT 22 | C | E | 3008.7200000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	DDAXK MAY23 CALL0 BOND		Options	TBRX		Y		Equities							O_7d2a353a-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY23 CALL0 BOND | 29 MAY 23 | C | E | .0001000000_TBRX	Options	0.0000000000			DDAXK MAY23 CALL0 BOND | 29 MAY 23 | C | E | .0001000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OPT_SX6E SEP22 PATM - 3870		Options	TBRX		Y		Equities							O_bb974c2e-9e9d-11ea-a0a0-6b77645bee53_OPT_SX6E SEP22 PATM - 3870 | 12 SEP 22 | P | E | 249.2400000000_TBRX	Options	0.0000000000			OPT_SX6E SEP22 PATM - 3870 | 12 SEP 22 | P | E | 249.2400000000			Equities		30200831		Equities	Put	20200831				Put	
