Bof_20200828
DEALID_FE	DESCRIPTION	F_ISLISTED	INSTRUMENT_FE	INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	ISIN	ISSUERID	MFAMILY	MGROUP	MTYPE	PHASE	PORTFOLIOID	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	TYPOLOGY	PRICE_MULTIPLIER	CFI_CODE	USE_VOLATILITY_SURFACE	CUSTOM_UNIQUE_ID	BASE_PRICE_MULTIPLIER	SUMMATION_GROUP	CFI_VARIANT_NAME	INSTRUMENTNUM_FE
-1		Y	SPX MAY24 C100 BOND	SPX MAY24 C100 BOND | 29 MAY 24 | C | E | 2752.0600000000	3543a9f0-85a9-11e9-bc50-d8e42f759887			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SPX	Call	
-1		Y	Greenvision	Greenvision	0663f6ff-0aee-11ea-9a3a-9009f297cea9	US39678G2021		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	GRNVU	Equity share	
-1		Y	SX5E MAY25 C100 BOND	SX5E MAY25 C100 BOND | 13 MAY 25 | C | E | 3385.7800000000	bf0697b2-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX5E	Call	
-1		Y	SX5E APR22 C100 BOND	SX5E APR22 C100 BOND | 28 APR 22 | C | E | 3028.2100000000	815e1f4a-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX5E	Call	
-1	HAIN CELESTIAL	Y	HAIN CELESTIAL	HAIN CELESTIAL	5a707abe-1f2e-11e9-a2d0-b3645e528b7a	US4052171000	0B7167	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	HAIN	Equity share	
-1		Y	SBH	SBH	e9e9141d-3c5e-11ea-cb25-720df61f70a2	US79546E1047		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	SBH	Equity share	
-1	EDENRED	Y	EDENRED	EDENRED	6e4955c2-1f2b-11e9-a2d0-b3645e528b7a	FR0010908533	0E0532	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESVUFN	N		1	QSV	Equity share	
-1	BI CW CALL FCA 10,2 E 071220	Y	I06456	I06456	b3ab55ce-90e6-11ea-b430-b3e2b66d25c3	IT0005410102	BANCA IMI	Equities	Rights	Warrants Call	0		2020-08-28	Warrants Call	Equities	Rights		1	RWXCCE	Y		1	FCA	Call warrant	
-1	BI CW CALL ENEL 7,4 E 010321	Y	I06425	I06425	b3955350-90e6-11ea-b430-b3e2b66d25c3	IT0005409781	BANCA IMI	Equities	Rights	Warrants Call	0		2020-08-28	Warrants Call	Equities	Rights		1	RWACCE	Y		1	ENEL	Call warrant	
-1		N	ENI MAR22 CALL 7.99 OTC - EPSILON	ENI MAR22 CALL 7.99 OTC - EPSILON | 14 MAR 22 | C | E | 7.9900000000	bc4ebc7a-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y	IT0003132476	1	ENI	Call	27161270
-1	QF AMUNDI RE EUROPA	Y	QFARE	QFARE	efa0df6a-1f2a-11e9-a2d0-b3645e528b7a	IT0001476412	AMUNDI REAL ESTATE ITALIA SGR	Equities	Equities	Units	0		2020-08-28	Units	Equities	Equities		1	EUCXXX	N		1	QFARE	Units and funds	
-1		N	BNP MAR24 CALL 22.365 OTC - EPSILON	BNP MAR24 CALL 22.365 OTC - EPSILON | 13 MAR 24 | C | E | 22.3650000000	bc510aca-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y	FR0000131104	1	BNP	Call	27161294
-1	OEXD 202312 P 70	Y	OEXD 202312 P 70	OEXD 202312 P 70 | 15 DEC 23 | P | E | 70.0000000000	f4497f76-1f30-11e9-a2d0-b3645e528b7a	DE000P4TCA03		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		100	OPEFCS	Y		1	FEXD	Put	
-1	TEREX CORP	Y	TEREX CORP	TEREX CORP	25125c48-514c-11e9-b8d0-ec23cf8de3db	US8807791038		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	TEX	Equity share	
-1		Y	FTMIB NOV24 C100 BOND	FTMIB NOV24 C100 BOND | 06 NOV 24 | C | E | 21219.1400000000	b23f01a4-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	FTMIB	Call	
-1		Y	Western Alliance	Western Alliance	38eb1042-856d-11ea-b7e8-9b0947f592a0	US9576381092		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	WAL	Equity share	
-1	AEGON	Y	AEGON	AEGON	ef9f6e5a-1f2a-11e9-a2d0-b3645e528b7a	NL0000303709	AEGON	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESVUFN	N		1	AEN	Equity share	
-1		Y	CERT SD3E APR26 BDT C66.66 2Y	CERT SD3E APR26 BDT C66.66 2Y | 26 APR 21 | C | E | 1363.5535000000	b9c105da-7710-11e9-9400-98972329be46			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SD3E	Call	
-1		Y	SD3E OCT25 P100 BOND	SD3E OCT25 P100 BOND | 29 OCT 25 | P | E | 1893.1900000000	8865bfbe-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Put	0		2020-08-28	Put	Equities	Options		1	OPEXPX	Y		1	SD3E	Put	
-1	TPI COMPOSTS INC	Y	TPI Composites Inc	TPI Composites Inc	25844cfe-514c-11e9-b8d0-ec23cf8de3db	US87266J1043		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	TPIC	Equity share	
-1	TIT0L0.42	Y	TIT0L0.42	TIT0L0.42 | 18 DEC 20 | C | A | .4200000000	fff6f180-2553-11ea-af50-2dba816f6810	IT0016335512		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1000	OCASPS	Y		1	TIT	Call	
-1	MIBO0L22000	Y	MIBO0L22000	MIBO0L22000 | 18 DEC 20 | C | E | 22000.0000000000	4d1dd422-1f30-11e9-a2d0-b3645e528b7a	IT0012710072		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		2.5	OCEICS	Y		1	FTMIB	Call	
-1		Y	AUB	AUB	18afc31b-d2eb-11e9-206f-4d4d00eb26a5	US04911A1079		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	AUB	Equity share	
-1	SPDR S&P 500 ET	Y	SPDR S&P 500	SPDR S&P 500	5af1c470-1f2e-11e9-a2d0-b3645e528b7a	US78462F1030	0E3466	Equities	Equities	Units	0		2020-08-28	Units	Equities	Equities		1	EUXXXX	N		1	SPY	Units and funds	
-1	NETFLIX INC	Y	NETFLIX USD	NETFLIX USD	5a8fc5ae-1f2e-11e9-a2d0-b3645e528b7a	US64110L1061	0A8028	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	NFLX	Equity share	
-1	CARRIZO OIL AND	Y	Carrizo Oil	Carrizo Oil	5ae7c5a6-1f2e-11e9-a2d0-b3645e528b7a	US1445771033	0B7901	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	CRZO	Equity share	
-1	ON SEMICONDUCTO	Y	ON SEMICONDUCTO	ON SEMICONDUCTO	5ae3c762-1f2e-11e9-a2d0-b3645e528b7a	US6821891057	0C2907	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	ON	Equity share	
-1	ENEL2X4.80	Y	ENEL2X4.80	ENEL2X4.80 | 16 DEC 22 | P | A | 4.8000000000	98f071b0-494d-11e9-9970-3027219c6795	IT0015461004		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		500	OPASPS	Y		1	ENEL	Put	
-1	AAPL Oct0 425.0P	Y	AAPL Oct0 425.0P	AAPL Oct0 425.0P | 16 OCT 20 | P | A | 425.0000000000	6bbe1fe6-56c9-11ea-a470-460cdf866efb			Equities	Options	Put	0		2020-08-28	Put	Equities	Options		100	OPASPX	Y		1	AAPL	Put	
-1	MIBO0X18000	Y	MIBO0X18000	MIBO0X18000 | 18 DEC 20 | P | E | 18000.0000000000	4d7be544-1f30-11e9-a2d0-b3645e528b7a	IT0012710346		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		2.5	OPEICS	Y		1	FTMIB	Put	
-1	SAP 202009 P 100	Y	SAP 202009 P 100	SAP 202009 P 100 | 18 SEP 20 | P | A | 100.0000000000	b926f6d0-ddc1-11e9-9eb0-e7766f5ef7bc	DE000C4G5DW7		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		100	OPASPS	Y		1	SAP	Put	
-1	TIT1X0.30	Y	TIT1X0.30	TIT1X0.30 | 17 DEC 21 | P | A | .3000000000	4dffe420-1f30-11e9-a2d0-b3645e528b7a	IT0015165852		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		1000	OPASPS	Y		1	TIT	Put	
-1		Y	EPC ENI SEP25 C130	EPC ENI SEP25 C130 | 26 SEP 25 | C | E | 18.2095000000	32c74e0c-e035-11e9-a220-4100c975c478			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	ENI	Call	
