Bof_20200828
AMERICAN_EUROPEAN	CURRENCY	DEALID_FE	DELIVERY_DATE	DESCRIPTION	EXERCISE_STYLE	EXPIRY	EXPIRY_LABEL	F_CALL_PUT	F_CASH_DELIVERY	F_QUANTO	FORWARD_START_DATE	FORWARD_START_STYLE	INSTRUMENTID_FE	LAST_TRADING_DATE	LOTSIZE	PORTFOLIOID	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	STARTDATE	STRIKE	TRADE_DATE	UNDERLYINGID	FORWARD_START_END_DATE	IS_FORWARD_START	QUANTO_CURR	NOMINAL	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID	INITIAL_PRICE	ISSUE_ID
E	EUR	-1			E	2024-09-09	SEP 24	C	C			0	EPC SD3E SEP24 C100 BOND | 09 SEP 24 | C | E | 1958.8700000000		1		2020-08-28	Call	Equities	Options		1958.8700000000001		ESTX SD 30 PR		N			ESTX SD 30 PR	7b8ab434-62b4-11e9-b160-4ad6f9df0bf5	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2023-03-13	MAR 23	C	C			0	ENI MAR23 CALL 7.99 OTC - EPSILON | 13 MAR 23 | C | E | 7.9900000000		1		2020-08-28	Call	Equities	Options		7.99		ENI		N			ENI	bc4ef190-7710-11e9-9400-98972329be46	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2025-01-29	JAN 25	P	C			0	OPT_EP CED FTMIB JAN25 P90 - 4842 | 29 JAN 25 | P | E | 17794.4000000000		1		2020-08-28	Put	Equities	Options		17794.4		FIB0I | SEP 20		N			FTSE MIB	bc43c8b4-9e9d-11ea-a0a0-6b77645bee53	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	7d286b02-5151-11e9-b8d0-ec23cf8de3db	0	
X	EUR	-1		IMI-EP85 ESXX HEALTH CARE 30ST20	X	2020-09-23	SEP 20	X	C			0	EP3 SXDP SEPT20 BDT		1		2020-08-28	Combined Instruments	Equities	Miscellaneous		0		STXE 600 HECR PR		N			STXE 600 HECR PR	34124136-1f2e-11e9-a2d0-b3645e528b7a	7d17ee58-5151-11e9-b8d0-ec23cf8de3db	7d17ee58-5151-11e9-b8d0-ec23cf8de3db	1000	
E	EUR	-1		BI CW CALL UNIPOLSAI 2,8 E 070920	E	2020-09-07	SEP 20	C	C			0	I06190		0.1		2020-08-28	Warrants Call	Equities	Rights		2.8000000000000003		US		N			US	d3edace2-5211-11ea-8640-38c7f938b954	efa1970c-1f2a-11e9-a2d0-b3645e528b7a	efa1970c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2025-07-08	JUL 25	C	C			0	0_EUR_SELDIV C 1420.9 25 - 5768 | 08 JUL 25 | C | E | 1420.9000000000		1		2020-08-28	Call	Equities	Options		1420.9		ESTX SD 30 PR		N			ESTX SD 30 PR	298885ca-c20e-11ea-b160-7d1a56fc20bf	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1		OEXD 202112 C 100	E	2021-12-17	DEC 21	C	C			0	OEXD 202112 C 100 | 17 DEC 21 | C | E | 100.0000000000		100		2020-08-28	Call	Equities	Options		100		FEXD 202112 | DEC 21		N			FEXD 202012 | DEC 20	f37ef044-1f30-11e9-a2d0-b3645e528b7a	f3732638-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1			A	2023-12-15	DEC 23	P	P			0	VO3 X120 Dec22 - OTC - STRUTT | 15 DEC 23 | P | A | 120.0000000000		1		2020-08-28	Put	Equities	Options		120		VOLKSWAGEN PREF		N			VOLKSWAGEN PREF	afb434b2-4d99-11ea-8480-8ec09ba89a42	efa15aa8-1f2a-11e9-a2d0-b3645e528b7a	efa15aa8-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		MB0X5.80	A	2020-12-18	DEC 20	P	P			0	MB0X5.80 | 18 DEC 20 | P | A | 5.8000000000		500		2020-08-28	Put	Equities	Options		5.800000000000001		MB		N			MB	1ca1ad62-5f78-11ea-b380-0f8ba2642da1	ef9cb372-1f2a-11e9-a2d0-b3645e528b7a	ef9cb372-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		DBK 202009 C 9	A	2020-09-18	SEP 20	C	P			0	DBK 202009 C 9 | 18 SEP 20 | C | A | 9.0000000000		100		2020-08-28	Call	Equities	Options		9		DEUTSCHE BANK		N			DEUTSCHE BANK	b4d55626-ddc1-11e9-9eb0-e7766f5ef7bc	efa3973c-1f2a-11e9-a2d0-b3645e528b7a	efa3973c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW PUT FTSE MIB 12000 E 180621	E	2021-06-18	JUN 21	P	C			0	I06360		0.0001		2020-08-28	Warrants Put	Equities	Rights		12000		FIB0I | SEP 20		N			FTSE MIB	b3a3778c-90e6-11ea-b430-b3e2b66d25c3	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	7d286b02-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2026-06-24	JUN 26	C	C			0	OPT_SD3E JUN19 BDT C66.66 7Y - 5060 | 24 JUN 26 | C | E | 1277.9600000000		1		2020-08-28	Call	Equities	Options		1277.96		ESTX SD 30 PR		N			ESTX SD 30 PR	bc79a7ae-9e9d-11ea-a0a0-6b77645bee53	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1		BI CW CALL ATLANTIA 17,5 E 010321	E	2021-03-01	MAR 21	C	C			0	I06382		0.1		2020-08-28	Warrants Call	Equities	Rights		17.5		ATL		N			ATL	b3f5719a-90e6-11ea-b430-b3e2b66d25c3	efa0e424-1f2a-11e9-a2d0-b3645e528b7a	efa0e424-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW CALL BPER BANCA 5 E 070920	E	2020-09-07	SEP 20	C	C			0	I06123		0.1		2020-08-28	Warrants Call	Equities	Rights		5		BPE		N			BPE	d3d9b976-5211-11ea-8640-38c7f938b954	efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2024-01-25	JAN 24	C	C			0	OPT_EP CED FTMIB JAN25 C50 5Y - 4842 | 25 JAN 24 | C | E | 9885.7750000000		1		2020-08-28	Call	Equities	Options		9885.775		FIB0I | SEP 20		N			FTSE MIB	bc41abf6-9e9d-11ea-a0a0-6b77645bee53	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	7d286b02-5151-11e9-b8d0-ec23cf8de3db	0	
A	EUR	-1		ENEL0X7.20	A	2020-12-18	DEC 20	P	P			0	ENEL0X7.20 | 18 DEC 20 | P | A | 7.2000000000		500		2020-08-28	Put	Equities	Options		7.2		ENEL		N			ENEL	4c605c3a-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		OESX 202212 C 3300	E	2022-12-16	DEC 22	C	C			0	OESX 202212 C 3300 | 16 DEC 22 | C | E | 3300.0000000000		10		2020-08-28	Call	Equities	Options		3300		FESX 202009 | SEP 20		N			ESTX 50 PR	f448e372-1f30-11e9-a2d0-b3645e528b7a	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2022-02-21	FEB 22	C	C			0	OPT_SX5E DEC21 CCAP - 3683 | 21 FEB 22 | C | E | 4452.3232000000		1		2020-08-28	Call	Equities	Options		4452.3232		FESX 202009 | SEP 20		N			ESTX 50 PR	bb6faa98-9e9d-11ea-a0a0-6b77645bee53	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db	0	
A	EUR	-1		AGL0U5	A	2020-09-18	SEP 20	P	P			0	AGL0U5 | 18 SEP 20 | P | A | 5.0000000000		500		2020-08-28	Put	Equities	Options		5		AGL		N			AGL	9f7f7ff6-5d1c-11ea-9b10-1e6079c4b3f4	efa2462a-1f2a-11e9-a2d0-b3645e528b7a	efa2462a-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2023-03-01	MAR 23	C	C			0	OPT_SX7E MAR23 CNP 6Y CAP - 4033 | 01 MAR 23 | C | E | 3.5403000000		1		2020-08-28	Call	Equities	Options		3.5403		FESB 202009 | SEP 20		N			ESTX BNK PR	bbb79600-9e9d-11ea-a0a0-6b77645bee53	4997fdf0-254c-11ea-af50-2dba816f6810	7d17bed8-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1		BI CW CALL ENEL 8,2 E 071220	E	2020-12-07	DEC 20	C	C			0	I05921		0.1		2020-08-28	Warrants Call	Equities	Rights		8.2		ENEL		N			ENEL	4061e428-1659-11ea-b3f0-689a4e2fd020	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2024-12-20	DEC 24	P	C			0	OTC SD3E P2000 DEC24 - JPM | 20 DEC 24 | P | E | 2000.0000000000		1		2020-08-28	Put	Equities	Options		2000		ESTX SD 30 PR		N			ESTX SD 30 PR	bc04a4fa-7710-11e9-9400-98972329be46	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2021-07-02	JUL 21	C	C			0	ASMG G427.21 21 - OTC EPSILON | 02 JUL 21 | C | E | 427.2100000000		1		2020-08-28	Call	Equities	Options		427.21000000000004		ASML		N			ASML	d533dcf4-bc54-11ea-8ab0-5ac0d4f352e5	efa37c20-1f2a-11e9-a2d0-b3645e528b7a	efa37c20-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW CALL BANCA MEDIOLANUM 9,5 E 070920	E	2020-09-07	SEP 20	C	C			0	I06184		0.1		2020-08-28	Warrants Call	Equities	Rights		9.5		BMED		N			BMED	d3a5960a-5211-11ea-8640-38c7f938b954	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW CALL GENERALI ASS 16,5 E 070621	E	2021-06-07	JUN 21	C	C			0	I06377		0.1		2020-08-28	Warrants Call	Equities	Rights		16.5		G		N			G	b3eb5f84-90e6-11ea-b430-b3e2b66d25c3	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	0	
X	USD	-1		IMI-EP S&P500 31DC21	X	2021-12-23	DEC 21	X	C			0	EP3 SPX DEC21 BDT		1		2020-08-28	Combined Instruments	Equities	Miscellaneous		0		EMINI S&P SEP0 | SEP 20		N			S&P 500 INDEX	342e056a-1f2e-11e9-a2d0-b3645e528b7a	93b981ba-9645-11e9-a180-91725b79faed	7d11f02a-5151-11e9-b8d0-ec23cf8de3db	2000	
A	EUR	-1		ENEL1F7.20	A	2021-06-18	JUN 21	C	P			0	ENEL1F7.20 | 18 JUN 21 | C | A | 7.2000000000		500		2020-08-28	Call	Equities	Options		7.2		ENEL		N			ENEL	4d747c6e-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		OEDV 202312 C 2100	E	2023-12-15	DEC 23	C	C			0	OEDV 202312 C 2100 | 15 DEC 23 | C | E | 2100.0000000000		10		2020-08-28	Call	Equities	Options		2100		ESTX SD 30 PR		N			ESTX SD 30 PR	ff76c82c-1f30-11e9-a2d0-b3645e528b7a	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2023-03-13	MAR 23	C	C			0	SX5E MAR23 CALL50 OTC 2 - EPSILON MAR26 | 13 MAR 23 | C | E | 1732.0000000000		1		2020-08-28	Call	Equities	Options		1732		FESX 202009 | SEP 20		N			ESTX 50 PR	c0d8c966-7710-11e9-9400-98972329be46	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2024-03-25	MAR 24	P	C			0	EPC SX5E MAR24 P100 BOND | 25 MAR 24 | P | E | 3300.4800000000		1		2020-08-28	Put	Equities	Options		3300.4800000000005		FESX 202009 | SEP 20		N			ESTX 50 PR	8232bdcc-62b4-11e9-b160-4ad6f9df0bf5	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1		BI TIT0,1SLC0,62E071220	E	2020-12-07	DEC 20	C	C			0	I05717		0.1		2020-08-28	Warrants Call	Equities	Rights		0.62		TIT		N			TIT	a37e6b54-d5e9-11e9-ba50-35a1ce420b26	ef9e0240-1f2a-11e9-a2d0-b3645e528b7a	ef9e0240-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW CALL AZIMUT 25,5 E 070920	E	2020-09-07	SEP 20	C	C			0	I05885		0.1		2020-08-28	Warrants Call	Equities	Rights		25.5		AZM		N			AZM	40734a1a-1659-11ea-b3f0-689a4e2fd020	ef9e7360-1f2a-11e9-a2d0-b3645e528b7a	ef9e7360-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2025-01-29	JAN 25	C	C			0	SD3E JAN25 C100 BOND | 29 JAN 25 | C | E | 2148.6800000000		1		2020-08-28	Call	Equities	Options		2148.68		ESTX SD 30 PR		N			ESTX SD 30 PR	79dc5642-62b4-11e9-b160-4ad6f9df0bf5	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2022-07-07	JUL 22	P	C			0	EPC ENEL JULY22 PUT95 | 07 JUL 22 | P | E | 4.6183000000		1		2020-08-28	Put	Equities	Options		4.6183000000000005		ENEL		N			ENEL	76f4542a-62b4-11e9-b160-4ad6f9df0bf5	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
A	USD	-1		8ES DEC0 4000 C	A	2020-12-18	DEC 20	C	P			0	8ES DEC0 4000 C | 18 DEC 20 | C | A | 4000.0000000000		50		2020-08-28	Call	Equities	Options		4000		EMINI S&P SEP0 | SEP 20		N			EMINI S&P SEP0 | SEP 20	999600aa-d18a-11ea-a100-402102c1e5a3	93b981ba-9645-11e9-a180-91725b79faed	93b981ba-9645-11e9-a180-91725b79faed	0	
A	EUR	-1		TRN0I6.20	A	2020-09-18	SEP 20	C	P			0	TRN0I6.20 | 18 SEP 20 | C | A | 6.2000000000		1000		2020-08-28	Call	Equities	Options		6.2		TRN		N			TRN	8817c38c-ddc9-11e9-9eb0-e7766f5ef7bc	efa1a24c-1f2a-11e9-a2d0-b3645e528b7a	efa1a24c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2023-12-15	DEC 23	C	P			0	ENI L12 Dec23 - OTC - STRUTT | 15 DEC 23 | C | E | 12.0000000000		1		2020-08-28	Call	Equities	Options		12		ENI		N			ENI	3e2771f8-d966-11e9-b2f0-5dd386df89f3	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2023-12-15	DEC 23	C	P			0	0_EUR_SELDIV L2000 23 - OTC JPM | 15 DEC 23 | C | E | 2000.0000000000		1		2020-08-28	Call	Equities	Options		2000		ESTX SD 30 PR		N			ESTX SD 30 PR	bb3a2644-7710-11e9-9400-98972329be46	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2022-08-10	AUG 22	P	C			0	OPT_EPC ENI AUG22 PUT90 - 4690 | 10 AUG 22 | P | E | 14.4900000000		1		2020-08-28	Put	Equities	Options		14.49		ENI		N			ENI	e1868586-aef5-11ea-8700-3d076c78611f	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2023-01-25	JAN 23	C	C			0	OPT_EP CED FTMIB JAN25 C50 4Y - 4842 | 25 JAN 23 | C | E | 9885.7750000000		1		2020-08-28	Call	Equities	Options		9885.775		FIB0I | SEP 20		N			FTSE MIB	bc411eb6-9e9d-11ea-a0a0-6b77645bee53	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	7d286b02-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2026-03-26	MAR 26	C	C			0	SD3E MAR26 C0 BOND | 26 MAR 26 | C | E | .0001000000		1		2020-08-28	Call	Equities	Options		0.0001		ESTX SD 30 PR		N			ESTX SD 30 PR	11697eae-e03c-11e9-a220-4100c975c478	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2021-02-11	FEB 21	C	C			0	ENI FEB21 CALL 7.675 OTC - EPSILON | 11 FEB 21 | C | E | 7.6750000000		1		2020-08-28	Call	Equities	Options		7.675		ENI		N			ENI	c11e4400-7710-11e9-9400-98972329be46	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		FCA0X7.20	A	2020-12-18	DEC 20	P	P			0	FCA0X7.20 | 18 DEC 20 | P | A | 7.2000000000		500		2020-08-28	Put	Equities	Options		7.2		FCA		N			FCA	4cf0f56a-1f30-11e9-a2d0-b3645e528b7a	ef9d4c92-1f2a-11e9-a2d0-b3645e528b7a	ef9d4c92-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI BPE0,1SLC4E070920	E	2020-09-07	SEP 20	C	C			0	I05700		0.1		2020-08-28	Warrants Call	Equities	Rights		4		BPE		N			BPE	a37e59d4-d5e9-11e9-ba50-35a1ce420b26	efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2020-09-18	SEP 20	C	C			0	ENI I10 - OTC MODENAFONDAC | 18 SEP 20 | C | E | 10.0000000000		1		2020-08-28	Call	Equities	Options		10		ENI		N			ENI	23bad1d6-b537-11ea-87b0-5d49e26b18bc	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2025-09-26	SEP 25	P	C			0	EPC ENI SEP25 P100 BOND | 26 SEP 25 | P | E | 14.0073000000		1		2020-08-28	Put	Equities	Options		14.0073		ENI		N			ENI	52cb7ad6-e0e7-11e9-9900-7e2abb81f267	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1			E	2023-03-01	MAR 23	C	C			0	SX7E MAR23 C100 BOND | 01 MAR 23 | C | E | 118.0100000000		1		2020-08-28	Call	Equities	Options		118.00999999999999		FESB 202009 | SEP 20		N			ESTX BNK PR	754775f9-62b4-11e9-b160-4ad6f9df0bf5	4997fdf0-254c-11ea-af50-2dba816f6810	7d17bed8-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2025-08-07	AUG 25	P	C			0	0_SDGP P 2279.03 25 - 5851 | 07 AUG 25 | P | E | 2279.0300000000		1		2020-08-28	Put	Equities	Options		2279.03		STXG18SD100		N			STXG18SD100	ab23868c-dc82-11ea-a960-6e0f8172dac5	7d176a5a-5151-11e9-b8d0-ec23cf8de3db	7d176a5a-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2024-09-09	SEP 24	C	C			0	EPC SD3E SEP24 CCAP | 09 SEP 24 | C | E | 2644.4745000000		1		2020-08-28	Call	Equities	Options		2644.4745000000003		ESTX SD 30 PR		N			ESTX SD 30 PR	7b887c96-62b4-11e9-b160-4ad6f9df0bf5	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2023-01-27	JAN 23	C	C			0	OPT_SD3E JAN23 CATM - 4000 | 27 JAN 23 | C | E | 1982.8200000000		1		2020-08-28	Call	Equities	Options		1982.82		ESTX SD 30 PR		N			ESTX SD 30 PR	bbadf55a-9e9d-11ea-a0a0-6b77645bee53	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
