Bof_20200828
ASK	BID	CAPITALFACTOR	CLEANPRICE	CLOSING_ASK	CLOSING_BID	CLOSING_MID	CLOSINGPRICE_DATE	CLOSINGPRICE_TIME	CURRENCY	DIRTYPRICE	F_QDIRTY	INSTRUMENT_FE	INSTRUMENTID_FE	MARKET	MID	PVBP	REALTIME_DATE	REALTIME_TIME	REF_DATE	ROUNDFIGURES	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	SETTLEMENT_DATE	TH_PRICE_FUT	VALUATION_MODE	ZSPREAD	TBRICKS_INSTRUMENT_ID	TH_PRICE
0.0905	0.0815			0.091	0.091	0.091	2020-08-28	17:15	EUR			I06245	I06245	SEDX	0.086				2020-08-28		Warrants Call	Equities	Rights		25.20985209536531	0		d3e7c98a-5211-11ea-8640-38c7f938b954	0.06900916243304822
0.0115	0.0006000000000000001			0.0027	0.0027	0.0027	2020-08-28	17:15	EUR			A2A0U1.10	A2A0U1.10 | 18 SEP 20 | P | A | 1.1000000000	XDMI	0.00605				2020-08-28		Put	Equities	Options		1.2382168748729403	0		7607862e-5c53-11ea-a7c0-339eae0b4931	0.0022773468955806495
0.045000000000000005	0.02			0.0095	0.0095	0.0095	2020-08-28	17:15	EUR			ENI2F14	ENI2F14 | 17 JUN 22 | C | A | 14.0000000000	XDMI	0.0325				2020-08-28		Call	Equities	Options		7.270667708564259	0		97caaaee-494d-11e9-9970-3027219c6795	0.014738773547553367
0.35200000000000004	0.3335			0.3985	0.3985	0.3985	2020-08-28	17:15	EUR			UCG0U8.50	UCG0U8.50 | 18 SEP 20 | P | A | 8.5000000000	XDMI	0.34275				2020-08-28		Put	Equities	Options		8.452567273809667	0		aa1e57d2-e2a7-11ea-88e0-76012705c10a	0.3342916086980592
3490	3190			3115	3115	3115	2020-08-28	17:15	EUR			MIBO0X23000	MIBO0X23000 | 18 DEC 20 | P | E | 23000.0000000000	XDMI	3340				2020-08-28		Put	Equities	Options		19750.698761067702	0		4c1943cc-1f30-11e9-a2d0-b3645e528b7a	3355.5679390295118
27.6	26.8			23.9	23.9	23.9	2020-08-28	17:15	EUR			OESX 202012 P 2500	OESX 202012 P 2500 | 18 DEC 20 | P | E | 2500.0000000000	XEUR	27.200000000000003				2020-08-28		Put	Equities	Options		3303.7599849301655	0		f38135e8-1f30-11e9-a2d0-b3645e528b7a	22.809878867428807
2.369	2.367			2.331	2.331	2.331	2020-08-28	17:15	EUR			BPE	BPE	MTAA	2.3680000000000003				2020-08-28		Common/Ordinary shares	Equities	Equities			0		efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	2.3680000000000003
1.612	1.593			1.447	1.447	1.447	2020-08-28	17:15	EUR			FCA0U11	FCA0U11 | 18 SEP 20 | P | A | 11.0000000000	XDMI	1.6025				2020-08-28		Put	Equities	Options		9.405349414910928	0		879ee264-ddc9-11e9-9eb0-e7766f5ef7bc	1.6033214141427594
75.59	75.4			75.25	75.25	75.25	2020-08-28	17:15	USD			Mantech	Mantech	XNAS	75.495				2020-08-28		Common/Ordinary shares	Equities	Equities			0		53d05501-99f9-11ea-2035-75c86b6be38f	75.495
37.51	37.480000000000004			37.9	37.9	37.9	2020-08-28	17:15	USD			EAST WEST BANCP	EAST WEST BANCP	XNAS	37.495000000000005				2020-08-28		Common/Ordinary shares	Equities	Equities			0		251d1aa2-514c-11e9-b8d0-ec23cf8de3db	37.495000000000005
5.2	5.05			3.54	3.54	3.54	2020-08-28	17:15	EUR			BAY 202012 P 56	BAY 202012 P 56 | 18 DEC 20 | P | A | 56.0000000000	XEUR	5.125				2020-08-28		Put	Equities	Options		54.95079495277472	0		7b9f57c2-81d1-11e9-b010-3b20a323c5a3	4.89496133460628
174.89000000000001	174.13			173.62	173.62	173.62	2020-08-28	17:15	USD			Appfolio	Appfolio	XNAS	174.51				2020-08-28		Common/Ordinary shares	Equities	Equities			0		924641a2-8ed4-11ea-d937-3d9ad2fb01b3	174.51
52.88	52.230000000000004			52.230000000000004	52.230000000000004	52.230000000000004	2020-08-28	17:15	EUR			QFARE	QFARE	MIVX	52.55500000000001				2020-08-28		Units	Equities	Equities			0		efa0df6a-1f2a-11e9-a2d0-b3645e528b7a	52.55500000000001
10.75	10.74			11.02	11.02	11.02	2020-08-28	17:15	USD			Qurate Retail Inc	Qurate Retail Inc	XNAS	10.745000000000001				2020-08-28		Common/Ordinary shares	Equities	Equities			0		258371b2-514c-11e9-b8d0-ec23cf8de3db	10.745000000000001
194.15	194.05			199	199	199	2020-08-28	17:15	SEK			GETINGE AB	GETINGE AB	XSTO	194.10000000000002				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a6c7126-1f2e-11e9-a2d0-b3645e528b7a	194.10000000000002
4.9	4.6			3.65	3.65	3.65	2020-08-28	17:15	EUR			OESB 202012 C 65	OESB 202012 C 65 | 18 DEC 20 | C | E | 65.0000000000	XEUR	4.75				2020-08-28		Call	Equities	Options		63.95491679692771	0		4dd149d0-254c-11ea-af50-2dba816f6810	4.437878156692982
0.055	0.035			0.047	0.047	0.047	2020-08-28	17:15	EUR			MS0I1.60	MS0I1.60 | 18 SEP 20 | C | A | 1.6000000000	XDMI	0.045				2020-08-28		Call	Equities	Options		1.5716406356885442	0		768b7490-579c-11ea-9e80-7a2e2d6fbb3b	0.04984647856307435
176.13	176.05			176.45	176.45	176.45	2020-08-28	17:15	USD			CME GROUP INC A	CME GROUP INC A	XNAS	176.09				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5af8266c-1f2e-11e9-a2d0-b3645e528b7a	176.09
1059.5	1058			1019	1019	1019	2020-08-28	17:15	GBP			CARNIVAL	CARNIVAL	XLON	1058.75				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5b1a7988-1f2e-11e9-a2d0-b3645e528b7a	1267.468435053014
4.1705000000000005	4.1695			4.24	4.24	4.24	2020-08-28	17:15	EUR			NOKIA	NOKIA	XHEL	4.17				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9f98c6-1f2a-11e9-a2d0-b3645e528b7a	4.17
24.939999999999998	24.93			24.57	24.57	24.57	2020-08-28	17:15	USD			SPDR S&P MTL&MNG	SPDR S&P MTL&MNG	ARCX	24.935				2020-08-28		ETF	Equities	Collective investment vehicles			0		7d2807a2-5151-11e9-b8d0-ec23cf8de3db	24.935
				874	874	874	2020-08-28	17:15	EUR			OESX 202512 P 3400	OESX 202512 P 3400 | 19 DEC 25 | P | E | 3400.0000000000	XEUR	828.2				2020-08-28		Put	Equities	Options		2926.2156674640587	0		f9533192-1f30-11e9-a2d0-b3645e528b7a	803.1233230240571
0.0028	0.0008			0.002	0.002	0.002	2020-08-28	17:15	EUR			I06113	I06113	SEDX	0.0018				2020-08-28		Warrants Call	Equities	Rights		7.437234135758297	0		d3da07d2-5211-11ea-8640-38c7f938b954	0.00015587752662338044
0.22	0.2			0.21	0.21	0.21	2020-08-28	17:15	EUR			AXA 202012 C 20	AXA 202012 C 20 | 18 DEC 20 | C | A | 20.0000000000	XEUR	0.21000000000000002				2020-08-28		Call	Equities	Options		17.488566187914795	0		f4644b6c-1f30-11e9-a2d0-b3645e528b7a	0.1875737056023738
90.85000000000001	90.75			89.4	89.4	89.4	2020-08-28	17:15	EUR			REY	REY	MTAA	90.80000000000001				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9e0b78-1f2a-11e9-a2d0-b3645e528b7a	90.80000000000001
13.7	13.25			12.9	12.9	12.9	2020-08-28	17:15	EUR			VO3 202012 P 140	VO3 202012 P 140 | 18 DEC 20 | P | A | 140.0000000000	XEUR	13.475				2020-08-28		Put	Equities	Options		135.38911308933604	0		f94e8c32-1f30-11e9-a2d0-b3645e528b7a	12.990240472291465
47.050000000000004	47			46.64	46.64	46.64	2020-08-28	17:15	USD			CDK GLOBAL ORD	CDK GLOBAL ORD	XNAS	47.025000000000006				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a71df58-1f2e-11e9-a2d0-b3645e528b7a	47.025000000000006
0.35750000000000004	0.3425			0.467	0.467	0.467	2020-08-28	17:15	EUR			ENEL0I7.40	ENEL0I7.40 | 18 SEP 20 | C | A | 7.4000000000	XDMI	0.35000000000000003				2020-08-28		Call	Equities	Options		7.642252556745058	0		880da0f0-ddc9-11e9-9eb0-e7766f5ef7bc	0.3452268934764142
63.57	63.55			64.71000000000001	64.71000000000001	64.71000000000001	2020-08-28	17:15	USD			GENERAL MILLS	GENERAL MILLS	XNYS	63.56				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a747628-1f2e-11e9-a2d0-b3645e528b7a	63.56
172.42	172.34			172.15	172.15	172.15	2020-08-28	17:15	USD			VARIAN MEDICAL	VARIAN MEDICAL	XNYS	172.38				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a589cfa-1f2e-11e9-a2d0-b3645e528b7a	172.38
159.8	159.4			157.6	157.6	157.6	2020-08-28	17:15	EUR			SAE	SAE	XETR	159.60000000000002				2020-08-28		Common/Ordinary shares	Equities	Equities			0		e356ea78-1f2b-11e9-a2d0-b3645e528b7a	159.60000000000002
16.1	14.7			14.2	14.2	14.2	2020-08-28	17:15	EUR			OESX 202106 C 4000	OESX 202106 C 4000 | 18 JUN 21 | C | E | 4000.0000000000	XEUR	15.4				2020-08-28		Call	Equities	Options		3240.4717759605555	0		fc0dd6c6-1f30-11e9-a2d0-b3645e528b7a	12.741015370330047
				893.44	893.44	893.44	2020-08-28	17:15	EUR			STXE 600 HECR PR	STXE 600 HECR PR	XEUR	883.79				2020-08-28		Indices	Equities	Referential Instruments			0		7d17ee58-5151-11e9-b8d0-ec23cf8de3db	
0.02				0.01	0.01	0.01	2020-08-28	17:15	EUR			ROY 202012 C 24	ROY 202012 C 24 | 18 DEC 20 | C | A | 24.0000000000	XEUR	0.015				2020-08-28		Call	Equities	Options		12.511267319113584	0		f9463780-1f30-11e9-a2d0-b3645e528b7a	0.0013893550279795198
1.2705	1.0925			2.1510000000000002	2.1510000000000002	2.1510000000000002	2020-08-28	17:15	EUR			RACE0I170	RACE0I170 | 18 SEP 20 | C | A | 170.0000000000	XDMI	1.1815				2020-08-28		Call	Equities	Options		164.78732046906123	0		0d001330-ff9c-11e9-bf90-2c33283b2cf8	1.3753300813839147
0.5940000000000001	0.279			0.6525000000000001	0.6525000000000001	0.6525000000000001	2020-08-28	17:15	EUR			EXO0J56	EXO0J56 | 16 OCT 20 | C | A | 56.0000000000	XDMI	0.43650000000000005				2020-08-28		Call	Equities	Options		50.23367062746799	0		46688b16-ca4e-11ea-bfb0-7047c6039bd4	0.4454815239474456
882.2	881.8000000000001			885.6	885.6	885.6	2020-08-28	17:15	CHF			STRAUMANN HLD N	STRAUMANN HLD N	XSWX	882				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5ae52076-1f2e-11e9-a2d0-b3645e528b7a	882
286	262			254	254	254	2020-08-28	17:15	EUR			MIBO0L22000	MIBO0L22000 | 18 DEC 20 | C | E | 22000.0000000000	XDMI	274				2020-08-28		Call	Equities	Options		19750.698761067702	0		4d1dd422-1f30-11e9-a2d0-b3645e528b7a	260.7267999722949
0.02				0.03	0.03	0.03	2020-08-28	17:15	EUR			AXA 202012 C 24.5	AXA 202012 C 24.5 | 18 DEC 20 | C | A | 24.5000000000	XEUR	0.015				2020-08-28		Call	Equities	Options		17.488566187914795	0		f6f7eda2-1f30-11e9-a2d0-b3645e528b7a	0.0020901783687550793
0.6735	0.5235000000000001			0.5485	0.5485	0.5485	2020-08-28	17:15	EUR			CNHI0I6.20	CNHI0I6.20 | 18 SEP 20 | C | A | 6.2000000000	XDMI	0.5985				2020-08-28		Call	Equities	Options		6.705466757991773	0		75a935b2-579c-11ea-9e80-7a2e2d6fbb3b	0.588264475917132
7.8999999999999995	7.89			7.7	7.7	7.7	2020-08-28	17:15	USD			US STEEL CORP	US STEEL CORP	XNYS	7.895				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a3c79bc-1f2e-11e9-a2d0-b3645e528b7a	7.895
156.39	156.37			155.79999999999998	155.79999999999998	155.79999999999998	2020-08-28	17:15	USD			ISH RSL 2000	ISH RSL 2000	ARCX	156.38				2020-08-28		ETF	Equities	Collective investment vehicles			0		5a7d6512-1f2e-11e9-a2d0-b3645e528b7a	156.38
0.1055	0.098			0.1095	0.1095	0.1095	2020-08-28	17:15	EUR			I06469	I06469	SEDX	0.10175000000000001				2020-08-28		Warrants Call	Equities	Rights		7.444338233198948	0		b3b75202-90e6-11ea-b430-b3e2b66d25c3	0.10455234034650057
33.285	33.28			33.28	33.28	33.28	2020-08-28	17:15	EUR			TOTAL	TOTAL	XPAR	33.2825				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9c7be6-1f2a-11e9-a2d0-b3645e528b7a	33.2825
							2020-08-28	17:15	EUR			OESU 202212 P 250	OESU 202212 P 250 | 16 DEC 22 | P | E | 250.0000000000	XEUR	15.3				2020-08-28		Put	Equities	Options		319.6673416122705	0		faa5fb2e-1f30-11e9-a2d0-b3645e528b7a	14.071554058147036
14.42	14.4			14.71	14.71	14.71	2020-08-28	17:15	EUR			BSS	BSS	MTAA	14.41				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9e3e68-1f2a-11e9-a2d0-b3645e528b7a	14.41
7.446	7.444			7.5120000000000005	7.5120000000000005	7.5120000000000005	2020-08-28	17:15	EUR			MB	MB	MTAA	7.445				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9cb372-1f2a-11e9-a2d0-b3645e528b7a	7.445
36.629999999999995	36.559999999999995			36.82	36.82	36.82	2020-08-28	17:15	USD			Western Alliance	Western Alliance	XNYS	36.595				2020-08-28		Common/Ordinary shares	Equities	Equities			0		38eb1042-856d-11ea-b7e8-9b0947f592a0	36.595
17.34	17.32			17.28	17.28	17.28	2020-08-28	17:15	USD			Virgin Galactic Holdings	Virgin Galactic Holdings	XNYS	17.33				2020-08-28		Common/Ordinary shares	Equities	Equities			0		0a1ed2cf-5971-11ea-687b-91dd79bf2ab3	17.33
18.84	18.77			18.34	18.34	18.34	2020-08-28	17:15	USD			COSAN	COSAN	XNYS	18.805				2020-08-28		Common/Ordinary shares	Equities	Equities			0		335ef10c-e90c-11e9-2c55-5167f907e99e	18.805
0.0016	0.0001			0.0009	0.0009	0.0009	2020-08-28	17:15	EUR			I05713	I05713	SEDX	0.0008500000000000001				2020-08-28		Warrants Call	Equities	Rights		7.846277073590687	0		a38a6d5a-d5e9-11e9-ba50-35a1ce420b26	0.000000002844136614133649
0.0012000000000000001	0.0002			0.0009	0.0009	0.0009	2020-08-28	17:15	EUR			I06176	I06176	SEDX	0.0007000000000000001				2020-08-28		Warrants Call	Equities	Rights		13.87800876172225	0		d3a339a0-5211-11ea-8640-38c7f938b954	0.00018935079251631293
0.0125	0.0105			0.013000000000000001	0.013000000000000001	0.013000000000000001	2020-08-28	17:15	EUR			I06466	I06466	SEDX	0.0115				2020-08-28		Warrants Call	Equities	Rights		5.833552787381305	0		b3d0b3c8-90e6-11ea-b430-b3e2b66d25c3	0.00930876310154718
0.006500000000000001	0.0045000000000000005			0.0045000000000000005	0.0045000000000000005	0.0045000000000000005	2020-08-28	17:15	EUR			I06140	I06140	SEDX	0.0055000000000000005				2020-08-28		Warrants Call	Equities	Rights		7.4861902343139874	0		d3a6c9a8-5211-11ea-8640-38c7f938b954	0.0025344118207307367
65.72	65.71000000000001			64.59	64.59	64.59	2020-08-28	17:15	USD			YANDEX N V CL A	YANDEX N V CL A	XNAS	65.715				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5abb2424-1f2e-11e9-a2d0-b3645e528b7a	65.715
0.0615	0.049			0.1	0.1	0.1	2020-08-28	17:15	EUR			I05926	I05926	SEDX	0.05525				2020-08-28		Warrants Call	Equities	Rights		164.81034913190283	0		405b1224-1659-11ea-b3f0-689a4e2fd020	0.04647061872724692
1985	1930			1950	1950	1950	2020-08-28	17:15	EUR			MIBO1F19000	MIBO1F19000 | 18 JUN 21 | C | E | 19000.0000000000	XDMI	1957.5				2020-08-28		Call	Equities	Options		19417.772214267647	0		4d427156-1f30-11e9-a2d0-b3645e528b7a	1945.873402229041
714.8299999999999	714.18			709.39	709.39	709.39	2020-08-28	17:15	USD			INTUITIVE SURG	INTUITIVE SURG	XNAS	714.5049999999999				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5ae58ab6-1f2e-11e9-a2d0-b3645e528b7a	714.5049999999999
13.04	13.03			13.040000000000001	13.040000000000001	13.040000000000001	2020-08-28	17:15	USD			OCCIDENTAL PETE	OCCIDENTAL PETE	XNYS	13.035				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a8332c6-1f2e-11e9-a2d0-b3645e528b7a	13.035
2430	2395			2405	2405	2405	2020-08-28	17:15	EUR			MIBO0L18000	MIBO0L18000 | 18 DEC 20 | C | E | 18000.0000000000	XDMI	2412.5				2020-08-28		Call	Equities	Options		19750.698761067702	0		4c1305a2-1f30-11e9-a2d0-b3645e528b7a	2360.9761476507574
6.01	6.006			6.148	6.148	6.148	2020-08-28	17:15	EUR			THYSSENKRUPP	THYSSENKRUPP	XETR	6.008				2020-08-28		Common/Ordinary shares	Equities	Equities			0		efa1f576-1f2a-11e9-a2d0-b3645e528b7a	6.008
				12.8	12.8	12.8	2020-08-28	17:15	EUR			OEXD 202112 P 100	OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000	XEUR	19.43				2020-08-28		Put	Equities	Options		81.69999999999999	0		f37ef594-1f30-11e9-a2d0-b3645e528b7a	21.5058998052039
31.85	31.82			31.889999999999997	31.889999999999997	31.889999999999997	2020-08-28	17:15	USD			BRIGHTHOUSE FNCL	BRIGHTHOUSE FNCL	XNAS	31.835				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5ae511e4-1f2e-11e9-a2d0-b3645e528b7a	31.835
0.5	0.45			0.52	0.52	0.52	2020-08-28	17:15	USD			MRNA Sep0 50.0 P	MRNA Sep0 50.0 P | 18 SEP 20 | P | A | 50.0000000000	OPRA	0.475				2020-08-28		Put	Equities	Options		67.53153513850388	0		33c4e886-c834-11ea-92f0-ac69e18de7f7	0.7875813973700156
210.01999999999998	209.85			210.82000000000002	210.82000000000002	210.82000000000002	2020-08-28	17:15	USD			Deckers Outdoor Corp	Deckers Outdoor Corp	XNYS	209.935				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ffd71e9e-7c86-11e9-a8f0-6ef443dc97a1	209.935
13.4	13.200000000000001			13.4	13.4	13.4	2020-08-28	17:15	EUR			TYA	TYA	MTAA	13.3				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9c54fe-1f2a-11e9-a2d0-b3645e528b7a	13.3
71.07	70.5			72.26	72.26	72.26	2020-08-28	17:15	EUR			LUMENTUM HOLDNGS EUR	LUMENTUM HOLDNGS EUR	XETR	70.785				2020-08-28		Common/Ordinary shares	Equities	Equities			0		343c5994-1f2e-11e9-a2d0-b3645e528b7a	70.610409
0.113	0.0001			0.0001	0.0001	0.0001	2020-08-28	17:15	EUR			ENI0L12	ENI0L12 | 18 DEC 20 | C | A | 12.0000000000	XDMI	0.05655				2020-08-28		Call	Equities	Options		7.845302923692798	0		4cf685de-1f30-11e9-a2d0-b3645e528b7a	0.0007249442320993258
0.075	0.058			0.0665	0.0665	0.0665	2020-08-28	17:15	EUR			BAMI0X1.25	BAMI0X1.25 | 18 DEC 20 | P | A | 1.2500000000	XDMI	0.0665				2020-08-28		Put	Equities	Options		1.43707091226583	0		c7547ea4-5de5-11ea-84c0-fbd23dc1ebd4	0.05944324532141011
10.700000000000001	10.55			11.9	11.9	11.9	2020-08-28	17:15	USD			AAPL Sep0 470.0P	AAPL Sep0 470.0P | 18 SEP 20 | P | A | 470.0000000000	OPRA	10.625				2020-08-28		Put	Equities	Options		501.6835487479214	0		7b096a22-286c-11ea-ada0-0231692788e6	8.544939782116394
7.69	7.59			7.81	7.81	7.81	2020-08-28	17:15	USD			United insurance holdings	United insurance holdings	XNAS	7.640000000000001				2020-08-28		Common/Ordinary shares	Equities	Equities			0		14e3a534-723a-11e9-8560-a8a9a83b899d	7.640000000000001
20.99	20.95			21.34	21.34	21.34	2020-08-28	17:15	USD			PERSPECTA ORD	PERSPECTA ORD	XNYS	20.97				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a8c2656-1f2e-11e9-a2d0-b3645e528b7a	20.97
60.43	60.36			57.550000000000004	57.550000000000004	57.550000000000004	2020-08-28	17:15	USD			DIN	DIN	XNYS	60.394999999999996				2020-08-28		Common/Ordinary shares	Equities	Equities			0		9f5cfccc-b51c-11e9-bf70-bf2ed07e5dd9	60.394999999999996
164.73	164.6			164.08	164.08	164.08	2020-08-28	17:15	USD			3M COMPANY USD	3M COMPANY USD	XNYS	164.665				2020-08-28		Common/Ordinary shares	Equities	Equities			0		25127bc4-514c-11e9-b8d0-ec23cf8de3db	164.665
0.116	0.10600000000000001			0.1	0.1	0.1	2020-08-28	17:15	EUR			ENEL0X6.20	ENEL0X6.20 | 18 DEC 20 | P | A | 6.2000000000	XDMI	0.11100000000000002				2020-08-28		Put	Equities	Options		7.635079098773243	0		ff2475ac-2553-11ea-af50-2dba816f6810	0.0968400741863486
23.45	23.2			23.9	23.9	23.9	2020-08-28	17:15	EUR			SAP 202012 C 120	SAP 202012 C 120 | 18 DEC 20 | C | A | 120.0000000000	XEUR	23.325				2020-08-28		Call	Equities	Options		139.9664618146382	0		f9b09724-1f30-11e9-a2d0-b3645e528b7a	23.11286162722726
0.0016	0.0001			0.0009	0.0009	0.0009	2020-08-28	17:15	EUR			I05979	I05979	SEDX	0.0008500000000000001				2020-08-28		Warrants Call	Equities	Rights		0.4014308310885792	0		4053aeb2-1659-11ea-b3f0-689a4e2fd020	0.000012212424103496319
8.24	8.235			8.38	8.38	8.38	2020-08-28	17:15	EUR			INW	INW	MTAA	8.2375				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9cc48e-1f2a-11e9-a2d0-b3645e528b7a	8.2375
				0.4	0.4	0.4	2020-08-28	17:15	USD			Draganfly	Draganfly	PINX	0.40750000000000003				2020-08-28		Common/Ordinary shares	Equities	Equities			0		17411923-849f-11ea-8dd0-b0d0ff814489	0.40750000000000003
0.35	0.26			0.27	0.27	0.27	2020-08-28	17:15	EUR			BAY 202106 C 92	BAY 202106 C 92 | 18 JUN 21 | C | A | 92.0000000000	XEUR	0.305				2020-08-28		Call	Equities	Options		53.09857051996007	0		f5f70b2c-1f30-11e9-a2d0-b3645e528b7a	0.1269348517788129
0.025	0.0001			0.023	0.023	0.023	2020-08-28	17:15	EUR			AGL0I5.40	AGL0I5.40 | 18 SEP 20 | C | A | 5.4000000000	XDMI	0.01255				2020-08-28		Call	Equities	Options		4.377998946361409	0		758c83c0-5c53-11ea-a7c0-339eae0b4931	0.0010601079287306135
13.59	13.56			13.5	13.5	13.5	2020-08-28	17:15	USD			CRITEO SA	CRITEO SA	XNAS	13.575				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5b256e74-1f2e-11e9-a2d0-b3645e528b7a	13.575
0.07150000000000001	0.043500000000000004			0.08600000000000001	0.08600000000000001	0.08600000000000001	2020-08-28	17:15	EUR			LDO0I6.40	LDO0I6.40 | 18 SEP 20 | C | A | 6.4000000000	XDMI	0.05750000000000001				2020-08-28		Call	Equities	Options		5.84266404259787	0		c61ef918-629c-11ea-b360-e4afb098eae1	0.058765753391026264
79.89	79.74			76.96000000000001	76.96000000000001	76.96000000000001	2020-08-28	17:15	USD			CDAY	CDAY	XNYS	79.815				2020-08-28		Common/Ordinary shares	Equities	Equities			0		cf927f8f-c35d-11e9-542a-6acb465d009b	79.815
